TotBytes,SrcBytes,DstBytes,SrcGap,DstGap,sMeanPktSz,dMeanPktSz,SrcWin,DstWin,Dur,IdleTime,Mean,StdDev,Sum,Min,Max,sTtl,dTtl,TcpRtt,SynAck,AckDat,TotPkts,SrcPkts,DstPkts,SrcRetra,DstRetra,Loss,SrcLoss,DstLoss,PCRatio,Load,SrcLoad,DstLoad,pLoss,pRetran,Rate,SrcRate,DstRate,Flgs_ e *      ,Flgs_ e d      ,Flgs_ e g      ,Flgs_ e r      ,Flgs_ e s      ,Cause_Start,Cause_Status,State_A_A,State_A_FA,State_A_FPA,State_A_PA,State_FA_,State_FA_A,State_FA_FA,State_FA_PA,State_FRA_,State_FRA_A,State_FRA_PA,State_PA_,State_PA_A,State_PA_R,State_RA_,State_RA_A,State_RA_PA,State_R_,State_R_A,State_R_PA,State_S_,State_S_SA,State__A,State__FA,State__FPA,State__PA,State__R,State__SA,TcpOpt_MwsS  T,label
148.0,74.0,74.0,0.0,0.0,74.0,74.0,8222720.0,4077568.0,0.000541,1721543936.0,0.000541,0.0,0.000541,0.000541,0.000541,62.0,64.0,0.000541,0.000541,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1848.428833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
497.0,497.0,0.0,0.0,0.0,248.5,0.0,64256.0,208941.2432132964,0.0,1721543936.0,0.0,0.0,0.0,0.0,0.0,62.0,64.0,0.169912,0.000541,0.169371,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
66.0,0.0,66.0,0.0,0.0,0.0,66.0,681344.1209964412,208941.2432132964,0.0,1721543936.0,0.0,0.0,0.0,0.0,0.0,62.0,64.0,0.169912,0.000541,0.169371,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1755.0,0.0,1755.0,0.0,0.0,0.0,877.5,681344.1209964412,208941.2432132964,0.0,1721543936.0,0.0,0.0,0.0,0.0,0.0,62.0,64.0,0.169912,0.000541,0.169371,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
234.0,0.0,234.0,0.0,0.0,0.0,234.0,681344.1209964412,208941.2432132964,0.0,1721543936.0,0.0,0.0,0.0,0.0,0.0,62.0,64.0,0.169912,0.000541,0.169371,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
148.0,74.0,74.0,0.0,0.0,74.0,74.0,8222720.0,4077568.0,0.000473,1721543936.0,0.000473,0.0,0.000473,0.000473,0.000473,62.0,64.0,0.000473,0.000473,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,2114.165039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
132.0,132.0,0.0,0.0,0.0,66.0,0.0,64000.0,208941.2432132964,0.0,1721543936.0,0.0,0.0,0.0,0.0,0.0,62.0,64.0,0.169912,0.000541,0.169371,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
132.0,66.0,66.0,0.0,0.0,66.0,66.0,64000.0,31872.0,0.000523,1721543936.0,0.000523,0.0,0.000523,0.000523,0.000523,62.0,64.0,0.169912,0.000541,0.169371,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1912.045776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
66.0,66.0,0.0,0.0,0.0,66.0,0.0,64256.0,208941.2432132964,0.0,1721543936.0,0.0,0.0,0.0,0.0,0.0,62.0,64.0,0.169307,0.000473,0.168834,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
389.0,389.0,0.0,0.0,0.0,389.0,0.0,64256.0,208941.2432132964,0.0,1721543936.0,0.0,0.0,0.0,0.0,0.0,62.0,64.0,0.169307,0.000473,0.168834,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
