TotBytes,SrcBytes,DstBytes,SrcGap,DstGap,sMeanPktSz,dMeanPktSz,SrcWin,DstWin,Dur,IdleTime,Mean,StdDev,Sum,Min,Max,sTtl,dTtl,TcpRtt,SynAck,AckDat,TotPkts,SrcPkts,DstPkts,SrcRetra,DstRetra,Loss,SrcLoss,DstLoss,PCRatio,Load,SrcLoad,DstLoad,pLoss,pRetran,Rate,SrcRate,DstRate,Flgs_ e *      ,Flgs_ e d      ,Flgs_ e g      ,Flgs_ e r      ,Flgs_ e s      ,Cause_Start,Cause_Status,Dir_   ?>,State_A_A,State_A_PA,State_FA_,State_FA_A,State_PA_,State_PA_A,State_PA_PA,State_S_,State_S_SA,State__A,State__FA,State__PA,State__SA,TcpOpt_Mws   T,TcpOpt_MwsS  T,label
148.0,74.0,74.0,0.0,0.0,74.0,74.0,8222720.0,4077568.0,0.000509,1721543808.0,0.000509,0.0,0.000509,0.000509,0.000509,62.0,64.0,0.000509,0.000509,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1964.636597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1
66.0,66.0,0.0,0.0,0.0,66.0,0.0,64256.0,44741.013121272365,0.0,1721543808.0,0.0,0.0,0.0,0.0,0.0,62.0,64.0,0.153694,0.000509,0.153185,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
106.0,0.0,106.0,0.0,0.0,0.0,106.0,102383.83854294856,44741.013121272365,0.0,1721543808.0,0.0,0.0,0.0,0.0,0.0,62.0,64.0,0.153694,0.000509,0.153185,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1
156.0,90.0,66.0,0.0,0.0,90.0,66.0,64256.0,31872.0,0.000992,1721543808.0,0.000992,0.0,0.000992,0.000992,0.000992,62.0,64.0,0.153694,0.000509,0.153185,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1008.064514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
66.0,66.0,0.0,0.0,0.0,66.0,0.0,64256.0,44741.013121272365,0.0,1721543808.0,0.0,0.0,0.0,0.0,0.0,62.0,64.0,0.153694,0.000509,0.153185,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
2518.0,1266.0,1252.0,0.0,0.0,1266.0,626.0,64256.0,31872.0,0.0,1721543808.0,0.0,0.0,0.0,0.0,0.0,62.0,64.0,0.153694,0.000509,0.153185,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
180.0,114.0,66.0,0.0,0.0,114.0,66.0,64128.0,31872.0,0.0,1721543808.0,0.0,0.0,0.0,0.0,0.0,62.0,64.0,0.153694,0.000509,0.153185,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
578.0,0.0,578.0,0.0,0.0,0.0,578.0,102383.83854294856,44741.013121272365,0.0,1721543808.0,0.0,0.0,0.0,0.0,0.0,62.0,64.0,0.153694,0.000509,0.153185,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1
82.0,82.0,0.0,0.0,0.0,82.0,0.0,64128.0,44741.013121272365,0.0,1721543808.0,0.0,0.0,0.0,0.0,0.0,62.0,64.0,0.153694,0.000509,0.153185,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
66.0,0.0,66.0,0.0,0.0,0.0,66.0,102383.83854294856,44741.013121272365,0.0,1721543808.0,0.0,0.0,0.0,0.0,0.0,62.0,64.0,0.153694,0.000509,0.153185,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1
