TcpRtt,pLoss,Max,SrcLoss,TotBytes,DstGap,sTtl,Mean,dTtl,Sum,TcpOpt_MwsS  T,Flgs_ e s      ,State_PA_A,sMeanPktSz,State__SA,TotPkts,Load,SrcLoad,SrcPkts,StdDev,DstRate,SrcRetra,Dur,Flgs_ e *      ,State_S_,State_S_SA,DstLoss,DstRetra,AckDat,Flgs_ e d      ,SrcGap,SynAck,DstLoad,pRetran,Flgs_ e g      ,Min,State_A_PA,DstPkts,SrcRate,DstWin,Loss,dMeanPktSz,Cause_Start,State__FA,State_PA_,DstBytes,State_FA_,State__A,State_A_A,State__PA,Rate,PCRatio,SrcWin,Cause_Status,IdleTime,SrcBytes,label
0.000521,0.0,0.000521,0.0,148.0,0.0,62.0,0.000521,64.0,0.000521,0.0,0.0,0.0,74.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.000521,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.000521,0.0,0.0,0.0,0.000521,0.0,1.0,0.0,4077568.0,0.0,74.0,1.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,1919.385742,-0.0,8222720.0,0.0,1721543808.0,74.0,1
0.167658,0.0,0.0,0.0,66.0,0.0,62.0,0.0,64.0,0.0,0.0,0.0,0.0,66.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167137,0.0,0.0,0.000521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,673827.0693162259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,64256.0,1.0,1721543808.0,66.0,1
0.167658,0.0,0.0,0.0,110.0,0.0,62.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167137,0.0,0.0,0.000521,0.0,0.0,0.0,0.0,0.0,1.0,0.0,673827.0693162259,0.0,110.0,0.0,0.0,0.0,110.0,0.0,0.0,0.0,1.0,0.0,-0.0,607498.3887857646,1.0,1721543808.0,0.0,1
0.167658,0.0,0.0,0.0,66.0,0.0,62.0,0.0,64.0,0.0,0.0,0.0,0.0,66.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167137,0.0,0.0,0.000521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,673827.0693162259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,64256.0,1.0,1721543808.0,66.0,1
0.167658,0.0,0.0,0.0,84.0,0.0,62.0,0.0,64.0,0.0,0.0,0.0,0.0,84.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167137,0.0,0.0,0.000521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,673827.0693162259,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,64256.0,1.0,1721543808.0,84.0,1
0.167658,0.0,0.0,0.0,66.0,0.0,62.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167137,0.0,0.0,0.000521,0.0,0.0,0.0,0.0,0.0,1.0,0.0,673827.0693162259,0.0,66.0,0.0,0.0,0.0,66.0,0.0,1.0,0.0,0.0,0.0,-0.0,607498.3887857646,1.0,1721543808.0,0.0,1
0.167658,0.0,0.0,0.0,105.0,0.0,62.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167137,0.0,0.0,0.000521,0.0,0.0,0.0,0.0,0.0,1.0,0.0,673827.0693162259,0.0,105.0,0.0,0.0,0.0,105.0,0.0,0.0,0.0,1.0,0.0,-0.0,607498.3887857646,1.0,1721543808.0,0.0,1
0.167658,0.0,0.0,0.0,100.0,0.0,62.0,0.0,64.0,0.0,0.0,0.0,0.0,100.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167137,0.0,0.0,0.000521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,673827.0693162259,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,64256.0,1.0,1721543808.0,100.0,1
0.167658,0.0,0.0,0.0,74.0,0.0,62.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167137,0.0,0.0,0.000521,0.0,0.0,0.0,0.0,0.0,1.0,0.0,673827.0693162259,0.0,74.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,1.0,0.0,-0.0,607498.3887857646,1.0,1721543808.0,0.0,1
0.167658,0.0,0.0,0.0,99.0,0.0,62.0,0.0,64.0,0.0,0.0,0.0,0.0,99.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167137,0.0,0.0,0.000521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,673827.0693162259,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,64256.0,1.0,1721543808.0,99.0,1
0.167658,0.0,0.0,0.0,74.0,0.0,62.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167137,0.0,0.0,0.000521,0.0,0.0,0.0,0.0,0.0,1.0,0.0,673827.0693162259,0.0,74.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,1.0,0.0,-0.0,607498.3887857646,1.0,1721543808.0,0.0,1
