SrcRate,Sum,SrcWin,SrcLoss,DstRate,AckDat,Flgs_ e *      ,Loss,DstRetra,State_FPA_FPA,pLoss,Load,DstLoad,State_SPA_SPA,dTtl,State_PA_PA,DstBytes,SynAck,IdleTime,DstWin,TcpRtt,SrcGap,SrcLoad,Min,Mean,sTtl,State_A_PA,SrcPkts,SrcRetra,DstPkts,PCRatio,Cause_Status,DstGap,SrcBytes,TcpOpt_MwsS  T,Dur,Max,Rate,Flgs_ e d      ,State__PA,TotPkts,DstLoss,pRetran,sMeanPktSz,StdDev,TotBytes,dMeanPktSz,label
35.962425,0.139034,64000.0,0.0,35.962425,0.060937,0.0,0.0,0.0,0.0,0.0,142181.046875,105297.984375,0.0,64.0,0.0,2195.0,0.000489,1721542784.0,31872.0,0.061426,0.0,36883.0625,0.139034,0.139034,62.0,0.0,6.0,0.0,6.0,-0.0,0.0,0.0,769.0,0.0,0.139034,0.139034,79.11734,0.0,0.0,12.0,0.0,0.0,128.166672,0.0,2964.0,365.833344,1
32.08007,0.124688,64128.0,0.0,32.08007,0.061824,0.0,0.0,0.0,0.0,0.0,71217.757812,37277.042969,0.0,64.0,0.0,726.0,0.00049,1721542784.0,31872.0,0.062314,0.0,33940.714844,0.124688,0.124688,62.0,0.0,5.0,0.0,5.0,-0.0,0.0,0.0,661.0,0.0,0.124688,0.124688,72.180161,0.0,0.0,10.0,0.0,0.0,132.199997,0.0,1387.0,145.199997,1
480.909119,1.68431,3144704.0,0.0,846.043823,0.060734,0.0,14.0,0.0,0.0,0.621946,10481890.0,10216096.0,0.0,64.0,0.0,2152393.0,0.0,1721542784.0,31872.0,0.060734,0.0,265794.3125,1.68431,1.68431,62.0,0.0,811.0,0.0,1426.0,-0.0,0.0,0.0,56029.0,1.0,1.68431,1.68431,1327.546631,1.0,0.0,2237.0,14.0,0.0,69.086311,0.0,2208422.0,1509.391968,1
14.250346,4.491119,185216.0,0.0,47.426933,0.267204,0.0,9.0,0.0,0.0,3.125,572785.625,564470.5,0.0,64.0,0.0,318375.0,0.015187,1721542784.0,31872.0,0.282391,0.0,8315.077148,4.491119,4.491119,62.0,0.0,65.0,0.0,214.0,-0.0,0.0,0.0,4740.0,1.0,4.491119,4.491119,61.89994,1.0,0.0,279.0,9.0,0.0,72.92308,0.0,323115.0,1487.733643,1
4.640894,4.955941,168448.0,0.0,22.800917,0.23766,0.0,13.0,0.0,0.0,8.609272,271706.21875,268138.78125,1.0,64.0,0.0,167580.0,0.024441,1721542784.0,31872.0,0.262101,0.0,3567.435303,4.955941,4.955941,62.0,0.0,24.0,0.0,114.0,-0.0,0.0,0.0,2306.0,1.0,4.955941,4.955941,27.643589,1.0,0.0,138.0,13.0,0.0,96.083336,0.0,169886.0,1470.0,1
4.014243,0.249113,64256.0,0.0,0.0,0.22622,0.0,0.0,0.0,0.0,0.0,2247.97583,0.0,0.0,64.0,0.0,74.0,0.022893,1721542784.0,4077568.0,0.249113,0.0,2247.97583,0.249113,0.249113,62.0,0.0,2.0,0.0,1.0,-0.0,0.0,0.0,140.0,0.0,0.249113,0.249113,8.028485,0.0,0.0,3.0,0.0,0.0,70.0,0.0,214.0,74.0,1
43.874245,3.783541,783360.0,0.0,173.118256,0.23766,0.0,25.0,0.0,0.0,2.948113,2116582.25,2092710.5,0.0,64.0,0.0,991243.0,0.024441,1721542784.0,31872.0,0.262101,0.0,23871.818359,3.783541,3.783541,62.0,0.0,167.0,0.0,656.0,-0.0,1.0,0.0,11358.0,1.0,3.783541,3.783541,217.256805,1.0,0.0,823.0,25.0,0.0,68.011978,0.0,1002601.0,1511.041138,1
3.934406,0.254168,64256.0,0.0,0.0,0.22622,0.0,0.0,0.0,0.0,0.0,2077.366211,0.0,0.0,64.0,0.0,66.0,0.022893,1721542784.0,4077568.0,0.249113,0.0,2077.366211,0.254168,0.254168,62.0,0.0,2.0,0.0,1.0,-0.0,1.0,0.0,132.0,0.0,0.254168,0.254168,7.868811,0.0,0.0,3.0,0.0,0.0,66.0,0.0,198.0,66.0,1
6.852319,0.145936,8222720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3508.387207,0.0,0.0,64.0,0.0,74.0,0.040406,1721542784.0,4077568.0,0.040406,0.0,3508.387207,0.145936,0.145936,62.0,0.0,2.0,0.0,1.0,-0.0,0.0,0.0,128.0,0.0,0.145936,0.145936,13.704638,0.0,0.0,3.0,0.0,0.0,64.0,0.0,202.0,74.0,1
73.67083,4.981619,1862656.0,0.0,201.340164,0.165909,0.0,168.0,0.0,0.0,10.909091,2476550.75,2432301.75,1.0,64.0,0.0,1516110.0,0.019423,1721542784.0,31872.0,0.185332,0.0,44249.070312,4.981619,4.981619,62.0,0.0,368.0,0.0,1004.0,-0.0,0.0,0.0,27629.0,1.0,4.981619,4.981619,275.211731,1.0,0.0,1372.0,168.0,0.0,75.078804,0.0,1543739.0,1510.069702,1
28.872061,4.745072,2604544.0,0.0,68.281364,0.165909,0.0,5.0,0.0,0.0,1.068376,842470.6875,827023.9375,0.0,64.0,0.0,492050.0,0.019423,1721542784.0,31872.0,0.185332,0.0,15446.762695,4.745072,4.745072,62.0,1.0,138.0,0.0,325.0,-0.0,1.0,0.0,9228.0,1.0,4.745072,4.745072,97.364174,1.0,0.0,463.0,5.0,0.0,66.869568,0.0,501278.0,1514.0,1
3.532393,3.963319,2604544.0,0.0,16.65271,0.165909,0.0,1.0,0.0,0.0,1.204819,203586.9375,201697.609375,0.0,64.0,0.0,101438.0,0.019423,1721542784.0,31872.0,0.185332,0.0,1889.325562,3.963319,3.963319,62.0,1.0,15.0,0.0,67.0,-0.0,1.0,0.0,1002.0,1.0,3.963319,3.963319,20.437416,1.0,0.0,82.0,1.0,0.0,66.800003,0.0,102440.0,1514.0,1
0.0,3.835158,2605440.0,0.0,0.260745,0.165909,0.0,1.0,0.0,0.0,25.0,1647.911255,1647.911255,0.0,64.0,0.0,1580.0,0.019423,1721542784.0,31872.0,0.185332,0.0,0.0,3.835158,3.835158,62.0,0.0,1.0,0.0,2.0,-0.0,1.0,0.0,66.0,1.0,3.835158,3.835158,0.521491,1.0,0.0,3.0,1.0,0.0,66.0,0.0,1646.0,790.0,1
38.955296,1.309193,2603520.0,0.0,202.414764,0.165909,0.0,49.0,0.0,0.0,13.351499,2458057.75,2435686.75,0.0,64.0,0.0,400102.0,0.019423,1721542784.0,31872.0,0.185332,0.0,22371.033203,1.309193,1.309193,62.0,0.0,52.0,0.0,266.0,-0.0,1.0,0.0,3732.0,1.0,1.309193,1.309193,242.133896,1.0,0.0,318.0,49.0,0.0,71.769234,0.0,403834.0,1504.142822,1
7.75308,0.128981,8222720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3969.577148,0.0,0.0,64.0,0.0,74.0,0.007512,1721542784.0,4077568.0,0.007512,0.0,3969.577148,0.128981,0.128981,62.0,0.0,2.0,0.0,1.0,-0.0,0.0,0.0,128.0,0.0,0.128981,0.128981,15.506161,0.0,0.0,3.0,0.0,0.0,64.0,0.0,202.0,74.0,1
55.066139,3.686476,777344.0,0.0,205.616425,0.110198,0.0,24.0,0.0,0.0,2.431611,2507322.5,2476696.0,0.0,64.0,0.0,1142790.0,0.014078,1721542784.0,31872.0,0.124276,0.0,30626.539062,3.686476,3.686476,62.0,0.0,204.0,0.0,759.0,-0.0,0.0,0.0,14182.0,1.0,3.686476,3.686476,260.953827,1.0,0.0,963.0,24.0,0.0,69.519608,0.0,1156972.0,1505.652222,1
87.328064,1.099303,330624.0,0.0,188.301132,0.027865,0.0,0.0,0.0,0.0,0.0,2297346.5,2252088.75,0.0,64.0,0.0,310961.0,0.010539,1721542784.0,31872.0,0.038404,0.0,45257.769531,1.099303,1.099303,62.0,0.0,97.0,0.0,208.0,-0.0,0.0,0.0,6283.0,0.0,1.099303,1.099303,276.538849,0.0,0.0,305.0,0.0,0.0,64.773193,0.0,317244.0,1495.004761,1
