pRetran,SrcRetra,PCRatio,SrcWin,SrcLoss,DstRate,SrcLoad,Load,DstLoad,TcpRtt,Sum,AckDat,dTtl,Min,pLoss,DstLoss,Loss,StdDev,Rate,SrcRate,IdleTime,Dur,SrcPkts,SrcGap,DstBytes,DstGap,sTtl,DstWin,TotPkts,DstPkts,Mean,SrcBytes,TotBytes,dMeanPktSz,DstRetra,SynAck,label
0.0,0.0,-0.0,61440.0,0.0,80.957237,51100.210938,641699.4375,590599.25,0.059577,0.123522,0.059081,64.0,0.123522,0.0,0.0,0.0,0.0,145.723038,56.670067,1721542400.0,0.123522,8.0,0.0,10030.0,0.0,62.0,31872.0,19.0,11.0,0.123522,901.0,10931.0,911.818176,0.0,0.000496,HTTP
0.0,0.0,-0.0,62592.0,0.0,38.852554,31859.09375,223687.109375,191828.015625,0.047096,0.15443,0.046222,64.0,0.15443,0.0,0.0,0.0,0.0,77.705109,32.377129,1721542400.0,0.15443,6.0,0.0,4320.0,0.0,62.0,31872.0,13.0,7.0,0.15443,738.0,5058.0,617.142883,0.0,0.000874,HTTP
0.0,0.0,-0.0,64128.0,0.0,45.044174,35160.195312,264344.96875,229184.765625,0.047595,0.155403,0.046721,64.0,0.155403,0.0,0.0,0.0,0.0,90.088348,38.609291,1721542400.0,0.155403,7.0,0.0,5088.0,0.0,62.0,31872.0,15.0,8.0,0.155403,796.0,5884.0,636.0,0.0,0.000874,HTTP
0.0,0.0,-0.0,61568.0,0.0,55.992386,48569.394531,404041.03125,355471.65625,0.060676,0.125017,0.059295,64.0,0.125017,0.0,0.0,0.0,0.0,119.983681,55.992386,1721542400.0,0.125017,8.0,0.0,6348.0,0.0,62.0,31872.0,16.0,8.0,0.125017,867.0,7215.0,793.5,0.0,0.001381,HTTP
0.0,0.0,-0.0,64128.0,0.0,52.618076,39937.121094,395319.625,355382.5,0.05981,0.152039,0.057981,64.0,0.152039,0.0,0.0,0.0,0.0,105.236153,46.040817,1721542400.0,0.152039,8.0,0.0,7598.0,0.0,62.0,31872.0,17.0,9.0,0.152039,867.0,8465.0,844.222229,0.0,0.001829,HTTP
0.0,0.0,-0.0,62592.0,0.0,47.950417,36682.070312,323185.8125,286503.75,0.057981,0.166839,0.057481,64.0,0.166839,0.0,0.0,0.0,0.0,95.900833,41.956615,1721542400.0,0.166839,8.0,0.0,6721.0,0.0,62.0,31872.0,17.0,9.0,0.166839,874.0,7595.0,746.777771,0.0,0.0005,HTTP
0.0,0.0,-0.0,62592.0,0.0,39.94381,32487.632812,245627.8125,213140.171875,0.057979,0.150211,0.057481,64.0,0.150211,0.0,0.0,0.0,0.0,79.887619,33.28651,1721542400.0,0.150211,6.0,0.0,4668.0,0.0,62.0,31872.0,13.0,7.0,0.150211,731.0,5399.0,666.857117,0.0,0.000498,HTTP
0.0,0.0,-0.0,60672.0,0.0,51.911644,35715.210938,400809.8125,365094.59375,0.075183,0.154108,0.073706,64.0,0.154108,0.0,0.0,0.0,0.0,97.334335,38.933735,1721542400.0,0.154108,7.0,0.0,7912.0,0.0,62.0,31872.0,16.0,9.0,0.154108,802.0,8714.0,879.111084,0.0,0.001477,HTTP
0.0,0.0,-0.0,60672.0,0.0,51.734062,42835.804688,355826.875,312991.09375,0.075262,0.154637,0.074289,64.0,0.154637,0.0,0.0,0.0,0.0,109.934883,51.734062,1721542400.0,0.154637,9.0,0.0,6806.0,0.0,62.0,31872.0,18.0,9.0,0.154637,931.0,7737.0,756.222229,0.0,0.000973,HTTP
0.0,0.0,-0.0,63488.0,0.0,32.554733,29906.947266,201231.65625,171324.703125,0.075262,0.184305,0.074289,64.0,0.184305,0.0,0.0,0.0,0.0,70.535255,32.554733,1721542400.0,0.184305,7.0,0.0,4604.0,0.0,62.0,31872.0,14.0,7.0,0.184305,803.0,5407.0,657.714294,0.0,0.000973,HTTP
