Protocol,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,label
6,116810,119,59,167619.0,0.0,1448.0,0.0,1408.5630252100834,185.6958803452873,0.0,0.0,0.0,0.0,1434971.3209485488,1523.842136803356,659.9435028248581,3254.314207740091,34705.0,0.0,116810.0,989.9152542372876,4415.525469549911,38455.0,16.0,87766.0,1513.2068965517242,5476.659244718318,39754.0,0.0,0,0,0,0,3808,1888,1018.7483948292098,505.0937419741461,0.0,1448.0,936.418994413408,683.7162972628364,467467.9751428033,0,0,0,25,178,0,0,0,0.0,941.6797752808988,1408.563025210084,0.0,0,0,0,167619,118,1520933,0,0,0,0,6765,6765,118,32,16912.333333333332,16352.120361999949,32646.0,5.0,22024.33333333333,14253.878396188644,34705.0,6597.0,anydesk
6,111826,179,89,254655.0,0.0,1448.0,168.0,1422.6536312849164,144.03519632952043,0.0,0.0,0.0,0.0,2277243.217140916,2396.580401695491,418.8239700374531,1852.899766335171,24735.0,1.0,108686.0,610.5955056179778,3525.8980126929223,44439.0,15.0,106857.0,1214.2840909090903,4215.195701675327,34904.0,1.0,0,0,0,0,5728,2884,1600.701089192138,795.8793125033535,0.0,1448.0,952.055762081784,680.8988795646684,463623.2841924208,0,0,0,44,268,0,0,0,0.0,955.608208955224,1422.6536312849162,0.0,0,0,0,254655,179,2343034,0,0,0,0,629,6765,178,32,6558.666666666667,8191.993916827168,15826.0,283.0,14982.666666666668,9143.9884259186,24735.0,6602.0,anydesk
6,110723,189,91,264021.0,0.0,1460.0,0.0,1396.9365079365075,237.4310116834304,0.0,0.0,0.0,0.0,2384518.121799445,2528.8332144179617,396.8566308243728,1552.227872401649,21480.0,1.0,106986.0,569.0744680851066,2344.96859602639,24542.0,6.0,101672.0,1129.6888888888884,3602.770708569564,24880.0,1.0,0,0,0,0,3780,1820,1706.9624197321243,821.8707946858376,0.0,1460.0,939.576512455516,684.9162060453147,469110.2093035079,0,0,0,16,280,0,0,0,0.0,942.9321428571428,1396.936507936508,0.0,0,0,0,264021,188,2614146,0,0,0,0,6768,6768,188,20,20678.666666666668,28777.925730207404,53888.0,3062.0,9925.5,7737.242769014468,21480.0,5229.0,anydesk
6,117925,9,4,4968.0,0.0,698.0,41.0,552.0,289.7097685615727,0.0,0.0,0.0,0.0,42128.47148611405,110.23955904176384,9827.083333333336,9387.538591697295,22967.0,23.0,117925.0,14740.625,8448.660552123041,22967.0,647.0,18186.0,6062.0,8484.174738888869,15762.0,23.0,1,0,0,0,180,80,76.31969472122111,33.919864320542715,0.0,698.0,404.71428571428567,351.68636126994846,123683.2967032967,0,0,0,9,13,0,0,0,0.0,435.84615384615387,552.0,0.0,0,0,0,4968,9,42128,0,0,0,0,508,6768,8,20,3874.5,2332.7452711344204,5524.0,2225.0,18254.83333333333,4747.625908458528,22967.0,12279.0,anydesk
6,92940,3,3,471.0,0.0,171.0,138.0,157.0,17.05872210923198,0.0,0.0,0.0,0.0,5067.785668173015,64.5577792123951,18588.0,20542.05777180076,43178.0,3372.0,88875.0,44437.5,2987.5261505131634,46550.0,42325.0,89568.0,44784.0,2606.395595453614,46627.0,42941.0,1,0,0,0,96,96,32.27888960619755,32.27888960619755,0.0,171.0,91.71428571428572,86.4960775328652,7481.571428571428,0,0,0,3,6,0,0,0,1.0,107.0,157.0,0.0,0,0,0,0,0,0,0,0,0,0,629,6765,2,32,3410.5,54.44722215136416,3449.0,3372.0,41027.0,3041.9733726645272,43178.0,38876.0,anydesk
6,116968,28,16,25311.0,0.0,1460.0,0.0,903.9642857142856,519.9664862521399,0.0,0.0,0.0,0.0,216392.51761165448,376.1712605156966,2720.186046511628,4508.951262585579,20957.0,14.0,116968.0,4332.148148148148,6674.939911591851,23877.0,14.0,108468.0,7231.2,11493.11444300456,43837.0,522.0,0,0,0,0,560,320,239.38171123726147,136.78954927843512,0.0,1460.0,562.4666666666667,601.9571337803804,362352.3909090909,0,0,0,18,44,0,0,0,0.0,575.25,903.9642857142856,0.0,0,0,0,25311,27,224408,0,0,0,0,6768,6768,27,20,9280.0,4923.515478463195,12304.0,1966.0,12157.0,5980.467974999951,20957.0,5031.0,anydesk
6,114477,5,6,673.0,4043.0,673.0,0.0,134.6,300.9747497714717,675.0,672.0,673.8333333333333,1.169045194450005,41196.04811446841,96.08917075045645,11447.7,9255.04350250896,25421.0,2194.0,93045.0,23261.25,17426.762242309956,38643.0,3288.0,101528.0,20305.6,5983.758835380984,25421.0,13601.0,1,0,0,0,100,120,43.67689579566201,52.41227495479441,0.0,675.0,449.0833333333333,331.6711016910724,110005.71969696968,0,0,0,7,11,0,0,0,1.0,489.9090909090909,134.6,673.8333333333334,0,0,0,4716,7,41196,0,0,0,0,1026,1026,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anydesk
6,59870,36,21,48152.0,0.0,1448.0,50.0,1337.555555555556,327.8706578118393,0.0,0.0,0.0,0.0,804275.9311842325,952.0628027392684,1069.107142857143,5548.990501731976,41513.0,9.0,56856.0,1624.4571428571428,7871.733441441551,46418.0,14.0,54075.0,2703.75,9930.018820541873,44542.0,9.0,0,0,0,0,1152,672,601.3028227826959,350.7599799565726,0.0,1448.0,855.1724137931033,698.9791839364943,488571.8995765276,0,0,0,8,57,0,0,0,0.0,870.1754385964912,1337.5555555555557,0.0,0,0,0,48152,36,846911,0,0,0,0,629,6765,35,32,15328.0,0.0,15328.0,15328.0,41513.0,0.0,41513.0,41513.0,anydesk
6,116092,57,52,67517.0,0.0,1460.0,41.0,1184.5087719298244,462.5819665902858,0.0,0.0,0.0,0.0,581581.8488784757,938.9105192433587,1074.925925925926,2849.9839078204604,22123.0,3.0,112610.0,2010.892857142857,4593.058326247522,25248.0,3.0,95806.0,1878.549019607843,4465.957215709643,25587.0,6.0,1,0,0,0,1140,1040,490.9899045584537,447.92061468490505,0.0,1460.0,619.1545454545455,678.2114658499531,459970.7924103422,0,0,0,17,109,0,0,0,0.0,624.8348623853211,1184.508771929825,0.0,0,0,0,67517,57,599564,0,0,0,0,510,6278,56,20,14780.0,17554.50583183702,34970.0,3125.0,9752.857142857143,6120.991461862243,22123.0,5077.0,anydesk
6,116639,46,28,54980.0,0.0,1446.0,41.0,1195.2173913043478,424.54388141436783,0.0,0.0,0.0,0.0,471368.9246306981,634.4361662908632,1597.7945205479452,4152.820610938573,21423.0,6.0,112646.0,2503.244444444444,6085.830522076207,23782.0,6.0,113448.0,4201.777777777778,7556.441054508162,25415.0,16.0,0,0,0,0,920,560,394.3792385051312,240.05692778573203,0.0,1446.0,752.3466666666669,672.4576042766932,452199.2295495497,0,0,0,13,74,0,0,0,0.0,762.5135135135135,1195.2173913043478,0.0,0,0,0,54980,46,488077,0,0,0,0,1026,6762,45,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anydesk
