application,window,seed,cluster,training_mapped_level,TcpRtt_mean,TcpRtt_max,TcpRtt_median,TcpRtt_min,TcpRtt_std,SynAck_mean,SynAck_max,SynAck_median,SynAck_min,SynAck_std,AckDat_mean,AckDat_max,AckDat_median,AckDat_min,AckDat_std
HTTP,1,0,0,Low,0.05174839998416235,0.05174839998416235,0.05174839998416235,0.05174839998416235,0.0,0.007418213493823238,0.007418213493823238,0.007418213493823238,0.007418213493823238,0.0,0.04433018649033948,0.04433018649033948,0.04433018649033948,0.04433018649033948,0.0
HTTP,1,0,1,High,0.14635101906833875,0.14635101906833875,0.14635101906833875,0.14635101906833875,0.0,0.012959701177373936,0.012959701177373936,0.012959701177373936,0.012959701177373936,0.0,0.133391317890965,0.133391317890965,0.133391317890965,0.133391317890965,0.0
HTTP,1,0,2,Medium,0.3218933504314462,0.3218933504314462,0.3218933504314462,0.3218933504314462,0.0,0.028755128475551374,0.028755128475551374,0.028755128475551374,0.028755128475551374,0.0,0.29313822195589656,0.29313822195589656,0.29313822195589656,0.29313822195589656,0.0
HTTP,1,21,0,Low,0.049140801338737036,0.049140801338737036,0.049140801338737036,0.049140801338737036,0.0,0.007293211557356915,0.007293211557356915,0.007293211557356915,0.007293211557356915,0.0,0.04184758978138145,0.04184758978138145,0.04184758978138145,0.04184758978138145,0.0
HTTP,1,21,1,High,0.13933675585313884,0.13933675585313884,0.13933675585313884,0.13933675585313884,0.0,0.012767146505853144,0.012767146505853144,0.012767146505853144,0.012767146505853144,0.0,0.12656960934728645,0.12656960934728645,0.12656960934728645,0.12656960934728645,0.0
HTTP,1,21,2,Medium,0.31309281613923934,0.31309281613923934,0.31309281613923934,0.31309281613923934,0.0,0.027722156012658393,0.027722156012658393,0.027722156012658393,0.027722156012658393,0.0,0.2853706601265831,0.2853706601265831,0.2853706601265831,0.2853706601265831,0.0
HTTP,1,42,0,Medium,0.3118862215357448,0.3118862215357448,0.3118862215357448,0.3118862215357448,0.0,0.028507523830538513,0.028507523830538513,0.028507523830538513,0.028507523830538513,0.0,0.28337869770520807,0.28337869770520807,0.28337869770520807,0.28337869770520807,0.0
HTTP,1,42,1,Low,0.05076236498613171,0.05076236498613171,0.05076236498613171,0.05076236498613171,0.0,0.007370489720998515,0.007370489720998515,0.007370489720998515,0.007370489720998515,0.0,0.043391875265133245,0.043391875265133245,0.043391875265133245,0.043391875265133245,0.0
HTTP,1,42,2,High,0.1426530173663165,0.1426530173663165,0.1426530173663165,0.1426530173663165,0.0,0.012634078335832081,0.012634078335832081,0.012634078335832081,0.012634078335832081,0.0,0.13001893903048495,0.13001893903048495,0.13001893903048495,0.13001893903048495,0.0
HTTP,1,84,0,High,0.1335929193307936,0.1335929193307936,0.1335929193307936,0.1335929193307936,0.0,0.01275873115785987,0.01275873115785987,0.01275873115785987,0.01275873115785987,0.0,0.12083418817293355,0.12083418817293355,0.12083418817293355,0.12083418817293355,0.0
HTTP,1,84,1,Low,0.04683874660928557,0.04683874660928557,0.04683874660928557,0.04683874660928557,0.0,0.006636448095983288,0.006636448095983288,0.006636448095983288,0.006636448095983288,0.0,0.040202298513302405,0.040202298513302405,0.040202298513302405,0.040202298513302405,0.0
HTTP,1,84,2,Medium,0.3065724876132926,0.3065724876132926,0.3065724876132926,0.3065724876132926,0.0,0.027439018731117905,0.027439018731117905,0.027439018731117905,0.027439018731117905,0.0,0.2791334688821759,0.2791334688821759,0.2791334688821759,0.2791334688821759,0.0
HTTP,1,123,0,Low,0.04912580004980089,0.04912580004980089,0.04912580004980089,0.04912580004980089,0.0,0.00737307420318725,0.00737307420318725,0.00737307420318725,0.00737307420318725,0.0,0.041752725846613825,0.041752725846613825,0.041752725846613825,0.041752725846613825,0.0
HTTP,1,123,1,Medium,0.30379151229508095,0.30379151229508095,0.30379151229508095,0.30379151229508095,0.0,0.026956608313817427,0.026956608313817427,0.026956608313817427,0.026956608313817427,0.0,0.276834903981265,0.276834903981265,0.276834903981265,0.276834903981265,0.0
HTTP,1,123,2,High,0.13831022544484003,0.13831022544484003,0.13831022544484003,0.13831022544484003,0.0,0.012207164768683276,0.012207164768683276,0.012207164768683276,0.012207164768683276,0.0,0.12610306067615645,0.12610306067615645,0.12610306067615645,0.12610306067615645,0.0
HTTP,3,0,0,Medium,0.29426570949957565,0.35122215224766684,0.2928717031382526,0.23870327311280654,0.05092573420313916,0.026193325699745567,0.03361477650551302,0.025935754452926257,0.019029446140797303,0.006558659175028866,0.2680723837998299,0.3237475084817641,0.26653138252756575,0.21393826039016112,0.04967647820090382
HTTP,3,0,1,High,0.12411806501831492,0.15254898789173782,0.12491940638990635,0.09488580077330082,0.025800947315208232,0.012583215269298599,0.015956512108262114,0.012266729955229948,0.009526403744403758,0.0028646198910548424,0.11153484974901628,0.13937080850630854,0.11231727258852253,0.08291646815221809,0.025307741369575337
HTTP,3,0,2,Low,0.047075910603133736,0.0549928865636409,0.04610405526937067,0.040130789976389705,0.006657530320546825,0.006353348751520344,0.007881345675037617,0.006210613650998075,0.004968086928525397,0.0012986142006824984,0.040722561851612396,0.04808448658510378,0.03981152446877037,0.03427167450096593,0.006193629825486331
HTTP,3,21,0,Low,0.04749867976456965,0.05575211999502634,0.04635745299676666,0.04038646630191492,0.006879228275757715,0.006363524206250531,0.007919652200945104,0.006224009574732619,0.004946910843073839,0.001325338629744043,0.04113515555831834,0.048827134667992184,0.04005995846804293,0.03451837353892089,0.006412061119062168
HTTP,3,21,1,Medium,0.29170616462649074,0.3490324265536724,0.28922829566854963,0.2368577716572493,0.05079328749154063,0.026226739642184582,0.03373258003766466,0.025699811205273086,0.019247827683615836,0.0065149337485454,0.2654794249843061,0.32147463041431384,0.2631133662900185,0.21185027824858793,0.04965110401094806
HTTP,3,21,2,High,0.1242764364868133,0.15168387430437943,0.12560413029276557,0.09554130486329548,0.025129476422788864,0.012532704048713603,0.015834977740140345,0.012219947011855792,0.009543187394144694,0.002811777918973411,0.11174373243809975,0.13852535047181222,0.11308377183643839,0.08362207500604882,0.02459112133026624
HTTP,3,42,0,Low,0.04650720739037488,0.05519410480455059,0.04527176158780037,0.039055755778772835,0.0072390127843341805,0.006326501512767788,0.007954239501391779,0.0061519657509379105,0.004873299285973605,0.0013747762291468283,0.04018070587760635,0.04819300024204247,0.03904906922425284,0.033300048166525764,0.006692443461072246
