application,window,seed,partition,level,cluster,training_mapped_level,count
HTTP,1,0,train,Low,0,Low,382
HTTP,1,0,train,Low,1,High,27
HTTP,1,0,train,Low,2,Medium,21
HTTP,1,0,train,Medium,0,Low,334
HTTP,1,0,train,Medium,1,High,261
HTTP,1,0,train,Medium,2,Medium,38
HTTP,1,0,train,High,0,Low,230
HTTP,1,0,train,High,1,High,369
HTTP,1,0,train,High,2,Medium,114
HTTP,1,0,validation,Low,0,Low,415
HTTP,1,0,validation,Low,1,High,4
HTTP,1,0,validation,Low,2,Medium,0
HTTP,1,0,validation,Medium,0,Low,309
HTTP,1,0,validation,Medium,1,High,456
HTTP,1,0,validation,Medium,2,Medium,40
HTTP,1,0,validation,High,0,Low,185
HTTP,1,0,validation,High,1,High,496
HTTP,1,0,validation,High,2,Medium,97
HTTP,1,21,train,Low,0,Low,381
HTTP,1,21,train,Low,1,High,28
HTTP,1,21,train,Low,2,Medium,21
HTTP,1,21,train,Medium,0,Low,324
HTTP,1,21,train,Medium,1,High,265
HTTP,1,21,train,Medium,2,Medium,44
HTTP,1,21,train,High,0,Low,220
HTTP,1,21,train,High,1,High,374
HTTP,1,21,train,High,2,Medium,119
HTTP,1,21,validation,Low,0,Low,407
HTTP,1,21,validation,Low,1,High,12
HTTP,1,21,validation,Low,2,Medium,0
HTTP,1,21,validation,Medium,0,Low,273
HTTP,1,21,validation,Medium,1,High,485
HTTP,1,21,validation,Medium,2,Medium,47
HTTP,1,21,validation,High,0,Low,146
HTTP,1,21,validation,High,1,High,525
HTTP,1,21,validation,High,2,Medium,107
HTTP,1,42,train,Low,0,Medium,21
HTTP,1,42,train,Low,1,Low,381
HTTP,1,42,train,Low,2,High,28
HTTP,1,42,train,Medium,0,Medium,43
HTTP,1,42,train,Medium,1,Low,330
HTTP,1,42,train,Medium,2,High,260
HTTP,1,42,train,High,0,Medium,119
HTTP,1,42,train,High,1,Low,225
HTTP,1,42,train,High,2,High,369
HTTP,1,42,validation,Low,0,Medium,0
HTTP,1,42,validation,Low,1,Low,413
HTTP,1,42,validation,Low,2,High,6
HTTP,1,42,validation,Medium,0,Medium,46
HTTP,1,42,validation,Medium,1,Low,289
HTTP,1,42,validation,Medium,2,High,470
HTTP,1,42,validation,High,0,Medium,105
HTTP,1,42,validation,High,1,Low,158
HTTP,1,42,validation,High,2,High,515
HTTP,1,84,train,Low,0,High,31
HTTP,1,84,train,Low,1,Low,378
HTTP,1,84,train,Low,2,Medium,21
HTTP,1,84,train,Medium,0,High,281
HTTP,1,84,train,Medium,1,Low,302
HTTP,1,84,train,Medium,2,Medium,50
HTTP,1,84,train,High,0,High,396
HTTP,1,84,train,High,1,Low,196
HTTP,1,84,train,High,2,Medium,121
HTTP,1,84,validation,Low,0,High,23
HTTP,1,84,validation,Low,1,Low,396
HTTP,1,84,validation,Low,2,Medium,0
HTTP,1,84,validation,Medium,0,High,515
HTTP,1,84,validation,Medium,1,Low,237
HTTP,1,84,validation,Medium,2,Medium,53
HTTP,1,84,validation,High,0,High,527
HTTP,1,84,validation,High,1,Low,134
HTTP,1,84,validation,High,2,Medium,117
HTTP,1,123,train,Low,0,Low,381
HTTP,1,123,train,Low,1,Medium,21
HTTP,1,123,train,Low,2,High,28
HTTP,1,123,train,Medium,0,Low,322
HTTP,1,123,train,Medium,1,Medium,50
HTTP,1,123,train,Medium,2,High,261
HTTP,1,123,train,High,0,Low,214
HTTP,1,123,train,High,1,Medium,121
HTTP,1,123,train,High,2,High,378
HTTP,1,123,validation,Low,0,Low,407
HTTP,1,123,validation,Low,1,Medium,0
