application,window,seed,partition,n,silhouette_n,ari,ami,mapped_balanced_accuracy,silhouette,occupied_clusters,recall_low,recall_medium,recall_high
HTTP,1,0,train,1776,1000,0.07842494137378771,0.1138800878078907,0.48864508180070637,0.45461818736268284,3,0.8883720930232558,0.06003159557661927,0.517531556802244
HTTP,1,0,validation,2002,1000,0.14397705397932276,0.20506365237844731,0.5592250117634688,0.3619000169071419,3,0.9904534606205251,0.049689440993788817,0.6375321336760925
HTTP,1,21,train,1776,1000,0.08324645339195791,0.11591042550411293,0.4933669865711499,0.45649878585089493,3,0.8860465116279069,0.06951026856240126,0.5245441795231417
HTTP,1,21,validation,2002,1000,0.16723898745894794,0.21327132469319954,0.5681842243242405,0.35664975125683895,3,0.9713603818615751,0.058385093167701865,0.6748071979434447
HTTP,1,42,train,1776,1000,0.07959652319983665,0.11357184629134608,0.4905028527205295,0.4553656005616553,3,0.8860465116279069,0.0679304897314376,0.517531556802244
HTTP,1,42,validation,2002,1000,0.16152250823497286,0.2161280400888199,0.5682589251933572,0.3568603431406741,3,0.9856801909307876,0.05714285714285714,0.6619537275064268
HTTP,1,84,train,1776,1000,0.0982999339443205,0.12337139763939682,0.5044861428283783,0.4587991245636307,3,0.8790697674418605,0.07898894154818326,0.5553997194950911
HTTP,1,84,validation,2002,1000,0.1718184722529778,0.2074948185215855,0.5627745999718793,0.3564975009180164,3,0.9451073985680191,0.06583850931677018,0.6773778920308483
HTTP,1,123,train,1776,1000,0.08627116026213652,0.11715795613011715,0.49839657695865,0.4564535852746078,3,0.8860465116279069,0.07898894154818326,0.5301542776998598
HTTP,1,123,validation,2002,1000,0.16682207507612717,0.21372344281618122,0.5663842062282574,0.35323786193325135,3,0.9713603818615751,0.06583850931677018,0.6619537275064268
HTTP,3,0,train,1776,1000,0.14209963474437104,0.15463222338039445,0.5232226509130888,0.3442928412636562,3,0.8674418604651163,0.07109004739336493,0.6311360448807855
HTTP,3,0,validation,2002,1000,0.22872710948859412,0.26678451837344846,0.5814671663271732,0.2441172347415482,3,0.954653937947494,0.058385093167701865,0.7313624678663239
HTTP,3,21,train,1776,1000,0.14201584482719248,0.15457334606908218,0.5232226509130888,0.34446004931967883,3,0.8674418604651163,0.07109004739336493,0.6311360448807855
HTTP,3,21,validation,2002,1000,0.22595265803747872,0.2632904626606916,0.5822522126582127,0.2438672322527247,3,0.954653937947494,0.06459627329192547,0.7275064267352185
HTTP,3,42,train,1776,1000,0.14581225919946422,0.1562984831837532,0.5282399794948394,0.3418528084329619,3,0.8651162790697674,0.08846761453396525,0.6311360448807855
HTTP,3,42,validation,2002,1000,0.23770436753710159,0.27652576921613575,0.5817988946867761,0.24538284281918255,3,0.9522673031026253,0.07204968944099378,0.7210796915167095
HTTP,3,84,train,1776,1000,0.10002220170730063,0.12956919498641142,0.501782133836227,0.3499924683528804,3,0.8860465116279069,0.06951026856240126,0.5497896213183731
HTTP,3,84,validation,2002,1000,0.19306936659073268,0.24539007811821534,0.5695404005146901,0.24704096021190372,3,0.9880668257756563,0.05217391304347826,0.6683804627249358
HTTP,3,123,train,1776,1000,0.13754234698641174,0.1511321303811058,0.520885110006123,0.34506662034140273,3,0.8674418604651163,0.07109004739336493,0.6241234221598878
HTTP,3,123,validation,2002,1000,0.22040492889052732,0.26150212564179637,0.5764330914230896,0.24422967585964153,3,0.9665871121718377,0.05962732919254658,0.7030848329048843
HTTP,5,0,train,1776,1000,0.10700568003629654,0.13194933092833605,0.5055932435612509,0.34125276787534264,3,0.8790697674418605,0.07109004739336493,0.5666199158485273
HTTP,5,0,validation,2002,1000,0.2379767764737236,0.29364204686840367,0.5826957420822166,0.2395475757391709,3,0.9952267303102625,0.04720496894409938,0.705655526992288
HTTP,5,21,train,1776,1000,0.14659263471530204,0.15627706898881627,0.5245067036386132,0.3306846000137971,3,0.858139534883721,0.07582938388625593,0.6395511921458625
HTTP,5,21,validation,2002,1000,0.25599140565672696,0.30232983288045634,0.5899124179054813,0.23751023043204333,3,0.9761336515513126,0.058385093167701865,0.7352185089974294
HTTP,5,42,train,1776,1000,0.09733775705305807,0.12595564153797997,0.49863970560261467,0.34228551281340036,3,0.8790697674418605,0.07266982622432859,0.544179523141655
HTTP,5,42,validation,2002,1000,0.22301580076146454,0.2796707718162284,0.5779540622427386,0.23893930003988784,3,0.9952267303102625,0.049689440993788817,0.6889460154241646
HTTP,5,84,train,1776,1000,0.07229890047363956,0.109426875623859,0.48547843224972737,0.3522511886999124,3,0.8860465116279069,0.07109004739336493,0.4992987377279102
HTTP,5,84,validation,2002,1000,0.18573344958746169,0.25245315442640875,0.5650497373421258,0.2417072271504127,3,1.0,0.043478260869565216,0.6516709511568124
HTTP,5,123,train,1776,1000,0.14802966107660703,0.15766169400395738,0.5249742118200064,0.33066567300230165,3,0.858139534883721,0.07582938388625593,0.6409537166900421
HTTP,5,123,validation,2002,1000,0.2558402977102858,0.30292739775376426,0.5890555198763467,0.2371559068318833,3,0.9761336515513126,0.058385093167701865,0.7326478149100257
HTTP,10,0,train,1776,1000,0.1178365875840393,0.13582064091346038,0.5151917057497769,0.340734396779358,3,0.872093023255814,0.07740916271721959,0.5960729312762973
HTTP,10,0,validation,2002,1000,0.2898652604826758,0.3672468247653696,0.5930426266851884,0.2505464084000282,3,1.0,0.031055900621118012,0.7480719794344473
HTTP,10,21,train,1776,1000,0.01991431099959046,0.07213479040254506,0.4359422210109846,0.43256284536147793,3,0.9,0.03475513428120063,0.37307152875175315
HTTP,10,21,validation,2002,1000,0.0342127451056311,0.14745007242507419,0.47454906406510294,0.2794647761327697,3,1.0,0.014906832298136646,0.4087403598971722
HTTP,10,42,train,1776,1000,0.03604665905059394,0.08517657811817861,0.45479010902529876,0.39665732899348116,3,0.8953488372093024,0.04265402843601896,0.426367461430575
HTTP,10,42,validation,2002,1000,0.11898233790795511,0.21415049424731522,0.5216784556675024,0.2423020266853245,3,1.0,0.014906832298136646,0.5501285347043702
HTTP,10,84,train,1776,1000,0.12400465607411634,0.14178355675247137,0.5108065755363218,0.3347825488641325,3,0.8627906976744186,0.08056872037914692,0.5890603085553997
HTTP,10,84,validation,2002,1000,0.30448916036020285,0.3801237452831944,0.594364457852866,0.2504688106217254,3,0.9952267303102625,0.03850931677018633,0.7493573264781491
HTTP,10,123,train,1776,1000,0.10517419178266492,0.13044337393405397,0.5064152603162123,0.3425112197041233,3,0.8790697674418605,0.08056872037914692,0.5596072931276297
HTTP,10,123,validation,2002,1000,0.2798721899499491,0.35506838533708907,0.5866015211270604,0.24712020926550934,3,1.0,0.03229813664596273,0.7275064267352185
HTTP,20,0,train,1776,1000,0.1057049867146826,0.12990780158007711,0.5059303204123718,0.3515669308420869,3,0.8767441860465116,0.07582938388625593,0.5652173913043478
HTTP,20,0,validation,2002,1000,0.32876565326321067,0.4295353450167789,0.5870874515001038,0.27651197616632067,3,1.0,0.02732919254658385,0.7339331619537275
HTTP,20,21,train,1776,1000,0.024363778438713457,0.07698678516923617,0.4459913642467214,0.45333903706786655,3,0.9093023255813953,0.020537124802527645,0.40813464235624125
HTTP,20,21,validation,2002,1000,0.034653538060930654,0.1580613428950606,0.47386461011139674,0.30318906521318356,3,1.0,0.0,0.42159383033419023
HTTP,20,42,train,1776,1000,0.10128267981119699,0.127186453160846,0.5039004651224624,0.35286721140149674,3,0.8790697674418605,0.07582938388625593,0.5568022440392707
HTTP,20,42,validation,2002,1000,0.32417511530885046,0.42243330862113404,0.5918147609999628,0.27752530845117707,3,1.0,0.02608695652173913,0.7493573264781491
HTTP,20,84,train,1776,1000,0.042761903389239256,0.08846437700048217,0.46615816843145463,0.4161002285772138,3,0.9,0.04265402843601896,0.45582047685834504
HTTP,20,84,validation,2002,1000,0.1301491687062456,0.22590139320425717,0.5285623805798166,0.24797846003381271,3,1.0,0.012422360248447204,0.5732647814910026
HTTP,20,123,train,1776,1000,0.13444470481138532,0.1473528499930789,0.517801766534772,0.3444996256185334,3,0.8604651162790697,0.07582938388625593,0.6171107994389902
HTTP,20,123,validation,2002,1000,0.3663853186075301,0.4893679091316316,0.5909434926312093,0.2911387490757601,3,1.0,0.02732919254658385,0.7455012853470437
SFTP,1,0,train,8210,1000,0.20239388406369935,0.20740527151112287,0.5091951742370899,0.43381067487151437,3,0.8238361266294227,0.152914798206278,0.5508345978755691
SFTP,1,0,validation,3030,1000,0.19158057411748367,0.21125178411232548,0.4144453635958559,0.38564161980398115,3,0.6729435084241824,0.11783783783783784,0.45255474452554745
SFTP,1,21,train,8210,1000,0.20355445685665088,0.20817843560268307,0.5111171052552491,0.4349974865524679,3,0.8286778398510242,0.15201793721973095,0.5526555386949924
SFTP,1,21,validation,3030,1000,0.19229996882475267,0.21486291079869937,0.42023186240648785,0.39626475872309747,3,0.6808721506442021,0.10810810810810811,0.4717153284671533
SFTP,1,42,train,8210,1000,0.2315616232394224,0.21877863808656223,0.5499365862971939,0.4535149464850315,3,0.8536312849162011,0.13183856502242153,0.664339908952959
SFTP,1,42,validation,3030,1000,0.20981408185567121,0.23223679764891833,0.45528138024954995,0.42779414765565,3,0.7641228939544104,0.10810810810810811,0.4936131386861314
SFTP,1,84,train,8210,1000,0.20159907407082087,0.20712287021367828,0.5087878423432551,0.4338483683005255,3,0.8309124767225325,0.14977578475336323,0.5456752655538695
SFTP,1,84,validation,3030,1000,0.19967690120054946,0.21622126906614356,0.42581307067196833,0.3956041156494142,3,0.7066402378592666,0.11459459459459459,0.4562043795620438
SFTP,1,123,train,8210,1000,0.23063862944096836,0.2203157993500979,0.5534061051407687,0.4558000581877316,3,0.8651769087523278,0.1367713004484305,0.6582701062215478
SFTP,1,123,validation,3030,1000,0.21354354266388934,0.23349175780102724,0.4586366493887491,0.4391181840629975,3,0.7938553022794846,0.10486486486486486,0.4771897810218978
SFTP,3,0,train,8210,1000,0.2347445312014369,0.23529269023344213,0.5296175595383857,0.3300983448831304,3,0.85512104283054,0.14708520179372198,0.5866464339908953
SFTP,3,0,validation,3030,1000,0.22747645075116743,0.2441103949160601,0.44154244403772375,0.3076332262245318,3,0.7502477700693756,0.12,0.4543795620437956
SFTP,3,21,train,8210,1000,0.23412955125187254,0.23214636063161928,0.5576171935116404,0.41345827151640807,3,0.9251396648044693,0.0757847533632287,0.671927162367223
SFTP,3,21,validation,3030,1000,0.2810487017696284,0.2652958160889163,0.5558878647443607,0.43699721877966613,3,0.8761149653121902,0.061621621621621624,0.7299270072992701
SFTP,3,42,train,8210,1000,0.27451189664687003,0.25455003700745993,0.5829805753531058,0.3633554060056631,3,0.9020484171322161,0.11973094170403588,0.7271623672230653
SFTP,3,42,validation,3030,1000,0.23795443726203197,0.2622466565640209,0.483641605441863,0.37259406971796316,3,0.8384539147670962,0.09513513513513513,0.5173357664233577
SFTP,3,84,train,8210,1000,0.26914138328783715,0.2507680255595153,0.5771661224861516,0.3574684776626568,3,0.8972067039106145,0.12017937219730941,0.7141122913505311
SFTP,3,84,validation,3030,1000,0.23476052685620186,0.2584097202601956,0.4781533949436332,0.3706242419044138,3,0.8255698711595639,0.08972972972972973,0.5191605839416058
SFTP,3,123,train,8210,1000,0.21594681895110604,0.22252942603708237,0.5000265616066506,0.3094604639495043,3,0.8115456238361266,0.1556053811659193,0.5329286798179059
SFTP,3,123,validation,3030,1000,0.21308992043914413,0.225365498088178,0.3924883417559189,0.25379135628310734,3,0.6610505450941526,0.15783783783783784,0.3585766423357664
SFTP,5,0,train,8210,1000,0.2609115009830503,0.2650550070338104,0.5344246962928603,0.3140162045016176,3,0.8748603351955307,0.1475336322869955,0.5808801213960546
SFTP,5,0,validation,3030,1000,0.24735192673592518,0.26596343890991303,0.4567945181079888,0.30389962824280486,3,0.7720515361744301,0.14486486486486486,0.4534671532846715
SFTP,5,21,train,8210,1000,0.24099572126923366,0.24900101543486466,0.520804560881803,0.3063512391222455,3,0.8528864059590316,0.242152466367713,0.4673748103186646
SFTP,5,21,validation,3030,1000,0.2740841800123873,0.27290479171726534,0.5510737784872036,0.2932053658651842,3,0.7641228939544104,0.22486486486486487,0.6642335766423357
SFTP,5,42,train,8210,1000,0.292203050351268,0.2768629896033497,0.5790963285573593,0.33536467415909277,3,0.8945996275605214,0.1367713004484305,0.705918057663126
SFTP,5,42,validation,3030,1000,0.2456242955182119,0.27229414923508677,0.4663898458947398,0.34627562438819826,3,0.8037661050545094,0.10270270270270271,0.4927007299270073
SFTP,5,84,train,8210,1000,0.282442529789089,0.2698008091664405,0.5683169182021334,0.3240326159887752,3,0.8759776536312849,0.15067264573991032,0.6783004552352049
SFTP,5,84,validation,3030,1000,0.2388887278725697,0.26321019954602143,0.4464121893554445,0.3144839060869305,3,0.7631318136769079,0.11351351351351352,0.4625912408759124
SFTP,5,123,train,8210,1000,0.21378354836817484,0.22600028293205157,0.508186222206053,0.2680448727218065,3,0.7493482309124767,0.33363228699551567,0.44157814871016693
SFTP,5,123,validation,3030,1000,0.24574218529227143,0.25753028354533786,0.5560851615398287,0.19982509159136255,3,0.5738354806739346,0.3654054054054054,0.7290145985401459
SFTP,10,0,train,8210,1000,0.2975277727745935,0.31009697602054276,0.5968438281986125,0.38675806476912195,3,0.948975791433892,0.1914798206278027,0.6500758725341427
SFTP,10,0,validation,3030,1000,0.2979944799544649,0.3118951357052712,0.5234635912742442,0.40071803780113974,3,0.8850346878097126,0.11783783783783784,0.5675182481751825
SFTP,10,21,train,8210,1000,0.2729456267590684,0.2792618695569331,0.5313427089418264,0.3019202352221805,3,0.8376163873370577,0.15246636771300448,0.6039453717754173
SFTP,10,21,validation,3030,1000,0.27476401134274453,0.3011964723484787,0.40555232179797224,0.2657053158806735,3,0.7353815659068385,0.1372972972972973,0.34397810218978103
SFTP,10,42,train,8210,1000,0.28228825589608386,0.30549449475930124,0.5807808629985284,0.38268327241992917,3,0.9467411545623836,0.20986547085201793,0.5857359635811836
SFTP,10,42,validation,3030,1000,0.3022410826768205,0.3190105386022611,0.5168984427194117,0.39816289697420587,3,0.8860257680872151,0.1372972972972973,0.5273722627737226
SFTP,10,84,train,8210,1000,0.3236599641002409,0.31768757649305174,0.6077434289369122,0.37963634452092504,3,0.9400372439478585,0.17757847533632287,0.7056145675265554
SFTP,10,84,validation,3030,1000,0.2929093896092074,0.30168430243896016,0.5276302059657337,0.38623625030377645,3,0.8632309217046581,0.10378378378378378,0.6158759124087592
SFTP,10,123,train,8210,1000,0.2920082448484746,0.3047411285232195,0.5757935847046168,0.32030103925849185,3,0.9199255121042831,0.22869955156950672,0.5787556904400607
SFTP,10,123,validation,3030,1000,0.2898364397890465,0.2860259606006545,0.42161883809833284,0.26771058029864425,3,0.7978196233894945,0.18054054054054053,0.2864963503649635
SFTP,20,0,train,8210,1000,0.3676157124071346,0.3508598908332921,0.6203542891881703,0.33939937173012696,3,0.9087523277467412,0.2327354260089686,0.7195751138088012
SFTP,20,0,validation,3030,1000,0.30706050490405845,0.33530417656295264,0.43350073902510733,0.2946920028409413,3,0.7789890981169475,0.17297297297297298,0.34854014598540145
SFTP,20,21,train,8210,1000,0.3337777140003214,0.35843211800018104,0.6074811620049894,0.3839146171628743,3,0.9363128491620112,0.27399103139013453,0.6121396054628224
SFTP,20,21,validation,3030,1000,0.31506469586854763,0.3422820314124845,0.4914650140580635,0.3948992942686602,3,0.8543111992071358,0.18486486486486486,0.4352189781021898
SFTP,20,42,train,8210,1000,0.2843744603770556,0.32794724840434397,0.5744909238347197,0.38652847772704163,3,0.939292364990689,0.2825112107623318,0.5016691957511381
SFTP,20,42,validation,3030,1000,0.31950354309633394,0.34417986776469106,0.4792484083050011,0.397612430308747,3,0.8771060455896927,0.19567567567567568,0.36496350364963503
SFTP,20,84,train,8210,1000,0.31450301042315837,0.34098287177383096,0.5966815520894104,0.3870508573218996,3,0.9370577281191806,0.2681614349775785,0.5848254931714719
SFTP,20,84,validation,3030,1000,0.3151589675223258,0.34345031849624835,0.49732548250724085,0.39318569370247364,3,0.8582755203171457,0.19027027027027027,0.44343065693430656
