capture,total,reserved_rows,train_raw,train_purged_tuple_rows,train_eligible_rows,train_common_endpoints,validation_raw,validation_purged_tuple_rows,validation_eligible_rows,validation_common_endpoints,train_validation_shared_tuples
HTTP_Low,16914,3383,10148,3657,6491,430,3383,740,2643,419,0
HTTP_Medium,12479,2496,7487,1890,5597,633,2496,331,2165,805,0
HTTP_High,10087,2018,6052,1204,4848,713,2017,194,1823,778,0
SFTP_Low,7765,1553,4659,304,4355,2685,1553,118,1435,1009,0
SFTP_Medium,5898,1180,3538,168,3370,2230,1180,28,1152,925,0
SFTP_High,6248,1250,3748,100,3648,3295,1250,40,1210,1096,0
SMTP_Low,5344,1069,3206,393,2813,320,1069,68,1001,394,0
SMTP_Medium,2346,470,1407,42,1365,841,469,10,459,364,0
SMTP_High,5347,1070,3208,321,2887,866,1069,72,997,437,0
SSH_Low,6688,1338,4012,284,3728,2398,1338,43,1295,1068,0
SSH_Medium,2968,594,1780,25,1755,1622,594,14,580,505,0
SSH_High,4783,957,2869,70,2799,2573,957,15,942,866,0
Video_Low,8787,1758,5272,508,4764,2024,1757,87,1670,1207,0
Video_Medium,5327,1066,3196,203,2993,1928,1065,30,1035,795,0
Video_High,5531,1107,3318,161,3157,2158,1106,14,1092,973,0
