application,level,partition,window,median_span_seconds,p95_span_seconds
HTTP,Low,train,1,0.0,0.0
HTTP,Low,validation,1,0.0,0.0
HTTP,Medium,train,1,0.0,0.0
HTTP,Medium,validation,1,0.0,0.0
HTTP,High,train,1,0.0,0.0
HTTP,High,validation,1,0.0,0.0
HTTP,Low,train,3,0.0603845,2.964390849999983
HTTP,Low,validation,3,0.075177,18.84157259999999
HTTP,Medium,train,3,0.166473,26.147497999999995
HTTP,Medium,validation,3,0.178936,5.925493399999976
HTTP,High,train,3,0.215797,5.399673599999991
HTTP,High,validation,3,0.2599365,31.352610749999965
HTTP,Low,train,5,0.152885,20.12926159999998
HTTP,Low,validation,5,0.159712,29.927081399999995
HTTP,Medium,train,5,0.437955,31.802130199999997
HTTP,Medium,validation,5,0.434519,32.30903199999995
HTTP,High,train,5,0.485463,34.872411199999945
HTTP,High,validation,5,0.6385084999999999,49.97429605
HTTP,Low,train,10,0.4545755,23.60297219999995
HTTP,Low,validation,10,0.632827,34.591434199999995
HTTP,Medium,train,10,1.480142,41.1849822
HTTP,Medium,validation,10,1.14861,41.542984
HTTP,High,train,10,1.235045,57.8942446
HTTP,High,validation,10,2.2400585,70.44906544999995
HTTP,Low,train,20,1.5755335000000001,32.88928354999997
HTTP,Low,validation,20,2.906873,61.47100769999998
HTTP,Medium,train,20,9.705701,57.807501599999995
HTTP,Medium,validation,20,3.304487,65.8822774
HTTP,High,train,20,3.496489,70.25138940000001
HTTP,High,validation,20,9.055487,117.4871708
SFTP,Low,train,1,0.0,0.0
SFTP,Low,validation,1,0.0,0.0
SFTP,Medium,train,1,0.0,0.0
SFTP,Medium,validation,1,0.0,0.0
SFTP,High,train,1,0.0,0.0
SFTP,High,validation,1,0.0,0.0
SFTP,Low,train,3,3.356965,4.836577399999999
SFTP,Low,validation,3,3.161585,4.458716599999999
SFTP,Medium,train,3,3.3259464999999997,5.397580549999999
SFTP,Medium,validation,3,3.196659,4.4138024
SFTP,High,train,3,2.280725,3.8936249999999997
SFTP,High,validation,3,2.603602,4.423409749999999
SFTP,Low,train,5,6.612396,8.859375799999999
SFTP,Low,validation,5,6.013043,8.394733599999997
SFTP,Medium,train,5,6.5742095,10.6628058
SFTP,Medium,validation,5,6.213299,8.328937399999997
SFTP,High,train,5,5.241203,7.1440268
SFTP,High,validation,5,5.5062595,8.2481145
SFTP,Low,train,10,14.854534,18.577425199999986
SFTP,Low,validation,10,13.965968,17.188031600000002
SFTP,Medium,train,10,14.6920955,22.797180649999998
SFTP,Medium,validation,10,14.248215,17.511897
SFTP,High,train,10,11.977592,14.624453299999999
SFTP,High,validation,10,12.63841,16.347343000000002
SFTP,Low,train,20,31.516368,37.38434979999998
SFTP,Low,validation,20,29.675523,33.8075428
SFTP,Medium,train,20,31.138219,47.30578279999999
SFTP,Medium,validation,20,30.063128,34.536677999999995
SFTP,High,train,20,25.463041,29.4779751
SFTP,High,validation,20,27.221616,31.296356
SMTP,Low,train,1,0.0,0.0
SMTP,Low,validation,1,0.0,0.0
SMTP,Medium,train,1,0.0,0.0
