application,level,window,capture,total,reserved_rows,train_raw,train_purged_tuple_rows,train_eligible_rows,train_common_endpoints,validation_raw,validation_purged_tuple_rows,validation_eligible_rows,validation_common_endpoints,train_validation_shared_tuples
HTTP,Low,1,HTTP_Low,16914,3383,10148,3657,6491,6491,3383,740,2643,2643,0
HTTP,Low,3,HTTP_Low,16914,3383,10148,3657,6491,3448,3383,740,2643,1791,0
HTTP,Low,5,HTTP_Low,16914,3383,10148,3657,6491,2272,3383,740,2643,1361,0
HTTP,Low,10,HTTP_Low,16914,3383,10148,3657,6491,1133,3383,740,2643,845,0
HTTP,Low,20,HTTP_Low,16914,3383,10148,3657,6491,430,3383,740,2643,419,0
HTTP,Low,50,HTTP_Low,16914,3383,10148,3657,6491,8,3383,740,2643,98,0
HTTP,Low,100,HTTP_Low,16914,3383,10148,3657,6491,0,3383,740,2643,0,0
HTTP,Medium,1,HTTP_Medium,12479,2496,7487,1890,5597,5597,2496,331,2165,2165,0
HTTP,Medium,3,HTTP_Medium,12479,2496,7487,1890,5597,3602,2496,331,2165,1757,0
HTTP,Medium,5,HTTP_Medium,12479,2496,7487,1890,5597,2608,2496,331,2165,1510,0
HTTP,Medium,10,HTTP_Medium,12479,2496,7487,1890,5597,1466,2496,331,2165,1193,0
HTTP,Medium,20,HTTP_Medium,12479,2496,7487,1890,5597,633,2496,331,2165,805,0
HTTP,Medium,50,HTTP_Medium,12479,2496,7487,1890,5597,39,2496,331,2165,206,0
HTTP,Medium,100,HTTP_Medium,12479,2496,7487,1890,5597,0,2496,331,2165,41,0
HTTP,High,1,HTTP_High,10087,2018,6052,1204,4848,4848,2017,194,1823,1823,0
HTTP,High,3,HTTP_High,10087,2018,6052,1204,4848,3418,2017,194,1823,1553,0
HTTP,High,5,HTTP_High,10087,2018,6052,1204,4848,2614,2017,194,1823,1384,0
HTTP,High,10,HTTP_High,10087,2018,6052,1204,4848,1609,2017,194,1823,1112,0
HTTP,High,20,HTTP_High,10087,2018,6052,1204,4848,713,2017,194,1823,778,0
HTTP,High,50,HTTP_High,10087,2018,6052,1204,4848,87,2017,194,1823,225,0
HTTP,High,100,HTTP_High,10087,2018,6052,1204,4848,0,2017,194,1823,30,0
