application,window,seed,partition,level,cluster,training_mapped_level,count
HTTP,1,0,train,Low,0,High,1943
HTTP,1,0,train,Low,1,Low,7957
HTTP,1,0,train,Low,2,Medium,149
HTTP,1,0,train,Medium,0,High,3197
HTTP,1,0,train,Medium,1,Low,3648
HTTP,1,0,train,Medium,2,Medium,543
HTTP,1,0,train,High,0,High,3077
HTTP,1,0,train,High,1,Low,2061
HTTP,1,0,train,High,2,Medium,815
HTTP,1,0,validation,Low,0,High,131
HTTP,1,0,validation,Low,1,Low,3151
HTTP,1,0,validation,Low,2,Medium,2
HTTP,1,0,validation,Medium,0,High,1482
HTTP,1,0,validation,Medium,1,Low,786
HTTP,1,0,validation,Medium,2,Medium,129
HTTP,1,0,validation,High,0,High,1235
HTTP,1,0,validation,High,1,Low,238
HTTP,1,0,validation,High,2,Medium,445
HTTP,1,21,train,Low,0,Low,8041
HTTP,1,21,train,Low,1,Medium,152
HTTP,1,21,train,Low,2,High,1856
HTTP,1,21,train,Medium,0,Low,3806
HTTP,1,21,train,Medium,1,Medium,551
HTTP,1,21,train,Medium,2,High,3031
HTTP,1,21,train,High,0,Low,2148
HTTP,1,21,train,High,1,Medium,819
HTTP,1,21,train,High,2,High,2986
HTTP,1,21,validation,Low,0,Low,3176
HTTP,1,21,validation,Low,1,Medium,2
HTTP,1,21,validation,Low,2,High,106
HTTP,1,21,validation,Medium,0,Low,825
HTTP,1,21,validation,Medium,1,Medium,143
HTTP,1,21,validation,Medium,2,High,1429
HTTP,1,21,validation,High,0,Low,283
HTTP,1,21,validation,High,1,Medium,452
HTTP,1,21,validation,High,2,High,1183
HTTP,1,42,train,Low,0,Low,7891
HTTP,1,42,train,Low,1,Medium,191
HTTP,1,42,train,Low,2,High,1967
HTTP,1,42,train,Medium,0,Low,3566
HTTP,1,42,train,Medium,1,Medium,615
HTTP,1,42,train,Medium,2,High,3207
HTTP,1,42,train,High,0,Low,1952
HTTP,1,42,train,High,1,Medium,856
HTTP,1,42,train,High,2,High,3145
HTTP,1,42,validation,Low,0,Low,3138
HTTP,1,42,validation,Low,1,Medium,2
HTTP,1,42,validation,Low,2,High,144
HTTP,1,42,validation,Medium,0,Low,736
HTTP,1,42,validation,Medium,1,Medium,183
HTTP,1,42,validation,Medium,2,High,1478
HTTP,1,42,validation,High,0,Low,216
HTTP,1,42,validation,High,1,Medium,486
HTTP,1,42,validation,High,2,High,1216
HTTP,1,84,train,Low,0,High,1860
HTTP,1,84,train,Low,1,Low,8040
HTTP,1,84,train,Low,2,Medium,149
HTTP,1,84,train,Medium,0,High,3044
HTTP,1,84,train,Medium,1,Low,3803
HTTP,1,84,train,Medium,2,Medium,541
HTTP,1,84,train,High,0,High,3002
HTTP,1,84,train,High,1,Low,2139
HTTP,1,84,train,High,2,Medium,812
HTTP,1,84,validation,Low,0,High,105
HTTP,1,84,validation,Low,1,Low,3177
HTTP,1,84,validation,Low,2,Medium,2
HTTP,1,84,validation,Medium,0,High,1444
HTTP,1,84,validation,Medium,1,Low,824
HTTP,1,84,validation,Medium,2,Medium,129
HTTP,1,84,validation,High,0,High,1192
HTTP,1,84,validation,High,1,Low,283
HTTP,1,84,validation,High,2,Medium,443
HTTP,1,123,train,Low,0,Low,7938
HTTP,1,123,train,Low,1,Medium,172
HTTP,1,123,train,Low,2,High,1939
HTTP,1,123,train,Medium,0,Low,3633
HTTP,1,123,train,Medium,1,Medium,611
HTTP,1,123,train,Medium,2,High,3144
HTTP,1,123,train,High,0,Low,2021
HTTP,1,123,train,High,1,Medium,860
HTTP,1,123,train,High,2,High,3072
HTTP,1,123,validation,Low,0,Low,3148
HTTP,1,123,validation,Low,1,Medium,2
HTTP,1,123,validation,Low,2,High,134
HTTP,1,123,validation,Medium,0,Low,768
HTTP,1,123,validation,Medium,1,Medium,190
HTTP,1,123,validation,Medium,2,High,1439
HTTP,1,123,validation,High,0,Low,231
HTTP,1,123,validation,High,1,Medium,483
HTTP,1,123,validation,High,2,High,1204
HTTP,3,0,train,Low,0,Low,7846
HTTP,3,0,train,Low,1,Medium,203
HTTP,3,0,train,Low,2,High,2000
HTTP,3,0,train,Medium,0,Low,3430
HTTP,3,0,train,Medium,1,Medium,667
HTTP,3,0,train,Medium,2,High,3291
HTTP,3,0,train,High,0,Low,1730
HTTP,3,0,train,High,1,Medium,942
HTTP,3,0,train,High,2,High,3281
HTTP,3,0,validation,Low,0,Low,3191
HTTP,3,0,validation,Low,1,Medium,0
HTTP,3,0,validation,Low,2,High,93
HTTP,3,0,validation,Medium,0,Low,639
HTTP,3,0,validation,Medium,1,Medium,183
HTTP,3,0,validation,Medium,2,High,1575
HTTP,3,0,validation,High,0,Low,149
HTTP,3,0,validation,High,1,Medium,518
HTTP,3,0,validation,High,2,High,1251
HTTP,3,21,train,Low,0,Low,8090
HTTP,3,21,train,Low,1,Medium,161
HTTP,3,21,train,Low,2,High,1798
HTTP,3,21,train,Medium,0,Low,3779
HTTP,3,21,train,Medium,1,Medium,557
HTTP,3,21,train,Medium,2,High,3052
HTTP,3,21,train,High,0,Low,2031
HTTP,3,21,train,High,1,Medium,807
HTTP,3,21,train,High,2,High,3115
HTTP,3,21,validation,Low,0,Low,3217
HTTP,3,21,validation,Low,1,Medium,0
HTTP,3,21,validation,Low,2,High,67
HTTP,3,21,validation,Medium,0,Low,801
HTTP,3,21,validation,Medium,1,Medium,146
HTTP,3,21,validation,Medium,2,High,1450
HTTP,3,21,validation,High,0,Low,226
HTTP,3,21,validation,High,1,Medium,463
HTTP,3,21,validation,High,2,High,1229
HTTP,3,42,train,Low,0,Low,7952
HTTP,3,42,train,Low,1,Medium,184
HTTP,3,42,train,Low,2,High,1913
HTTP,3,42,train,Medium,0,Low,3595
HTTP,3,42,train,Medium,1,Medium,606
HTTP,3,42,train,Medium,2,High,3187
HTTP,3,42,train,High,0,Low,1863
HTTP,3,42,train,High,1,Medium,885
HTTP,3,42,train,High,2,High,3205
HTTP,3,42,validation,Low,0,Low,3199
HTTP,3,42,validation,Low,1,Medium,0
HTTP,3,42,validation,Low,2,High,85
HTTP,3,42,validation,Medium,0,Low,722
HTTP,3,42,validation,Medium,1,Medium,165
HTTP,3,42,validation,Medium,2,High,1510
HTTP,3,42,validation,High,0,Low,177
HTTP,3,42,validation,High,1,Medium,495
HTTP,3,42,validation,High,2,High,1246
HTTP,3,84,train,Low,0,High,1851
HTTP,3,84,train,Low,1,Low,8030
HTTP,3,84,train,Low,2,Medium,168
HTTP,3,84,train,Medium,0,High,3104
HTTP,3,84,train,Medium,1,Low,3721
HTTP,3,84,train,Medium,2,Medium,563
HTTP,3,84,train,High,0,High,3159
HTTP,3,84,train,High,1,Low,1971
HTTP,3,84,train,High,2,Medium,823
HTTP,3,84,validation,Low,0,High,72
HTTP,3,84,validation,Low,1,Low,3212
HTTP,3,84,validation,Low,2,Medium,0
HTTP,3,84,validation,Medium,0,High,1462
HTTP,3,84,validation,Medium,1,Low,784
HTTP,3,84,validation,Medium,2,Medium,151
HTTP,3,84,validation,High,0,High,1243
HTTP,3,84,validation,High,1,Low,213
HTTP,3,84,validation,High,2,Medium,462
HTTP,3,123,train,Low,0,Low,7835
HTTP,3,123,train,Low,1,Medium,203
HTTP,3,123,train,Low,2,High,2011
HTTP,3,123,train,Medium,0,Low,3416
HTTP,3,123,train,Medium,1,Medium,658
HTTP,3,123,train,Medium,2,High,3314
HTTP,3,123,train,High,0,Low,1712
HTTP,3,123,train,High,1,Medium,937
HTTP,3,123,train,High,2,High,3304
HTTP,3,123,validation,Low,0,Low,3185
HTTP,3,123,validation,Low,1,Medium,0
HTTP,3,123,validation,Low,2,High,99
HTTP,3,123,validation,Medium,0,Low,634
HTTP,3,123,validation,Medium,1,Medium,183
HTTP,3,123,validation,Medium,2,High,1580
HTTP,3,123,validation,High,0,Low,146
HTTP,3,123,validation,High,1,Medium,518
HTTP,3,123,validation,High,2,High,1254
HTTP,5,0,train,Low,0,High,2066
HTTP,5,0,train,Low,1,Low,7766
HTTP,5,0,train,Low,2,Medium,217
HTTP,5,0,train,Medium,0,High,3416
HTTP,5,0,train,Medium,1,Low,3233
HTTP,5,0,train,Medium,2,Medium,739
HTTP,5,0,train,High,0,High,3361
HTTP,5,0,train,High,1,Low,1546
HTTP,5,0,train,High,2,Medium,1046
HTTP,5,0,validation,Low,0,High,93
HTTP,5,0,validation,Low,1,Low,3191
HTTP,5,0,validation,Low,2,Medium,0
HTTP,5,0,validation,Medium,0,High,1633
HTTP,5,0,validation,Medium,1,Low,556
HTTP,5,0,validation,Medium,2,Medium,208
HTTP,5,0,validation,High,0,High,1280
HTTP,5,0,validation,High,1,Low,91
HTTP,5,0,validation,High,2,Medium,547
HTTP,5,21,train,Low,0,Low,7992
HTTP,5,21,train,Low,1,High,1885
HTTP,5,21,train,Low,2,Medium,172
HTTP,5,21,train,Medium,0,Low,3562
HTTP,5,21,train,Medium,1,High,3205
HTTP,5,21,train,Medium,2,Medium,621
HTTP,5,21,train,High,0,Low,1808
HTTP,5,21,train,High,1,High,3259
HTTP,5,21,train,High,2,Medium,886
HTTP,5,21,validation,Low,0,Low,3219
HTTP,5,21,validation,Low,1,High,65
HTTP,5,21,validation,Low,2,Medium,0
HTTP,5,21,validation,Medium,0,Low,690
HTTP,5,21,validation,Medium,1,High,1542
HTTP,5,21,validation,Medium,2,Medium,165
HTTP,5,21,validation,High,0,Low,146
HTTP,5,21,validation,High,1,High,1284
HTTP,5,21,validation,High,2,Medium,488
HTTP,5,42,train,Low,0,High,1844
HTTP,5,42,train,Low,1,Low,8053
HTTP,5,42,train,Low,2,Medium,152
HTTP,5,42,train,Medium,0,High,3171
HTTP,5,42,train,Medium,1,Low,3637
HTTP,5,42,train,Medium,2,Medium,580
HTTP,5,42,train,High,0,High,3231
HTTP,5,42,train,High,1,Low,1895
HTTP,5,42,train,High,2,Medium,827
HTTP,5,42,validation,Low,0,High,60
HTTP,5,42,validation,Low,1,Low,3224
HTTP,5,42,validation,Low,2,Medium,0
HTTP,5,42,validation,Medium,0,High,1531
HTTP,5,42,validation,Medium,1,Low,723
HTTP,5,42,validation,Medium,2,Medium,143
HTTP,5,42,validation,High,0,High,1288
HTTP,5,42,validation,High,1,Low,169
HTTP,5,42,validation,High,2,Medium,461
HTTP,5,84,train,Low,0,Low,8369
HTTP,5,84,train,Low,1,High,1550
HTTP,5,84,train,Low,2,Medium,130
HTTP,5,84,train,Medium,0,Low,4184
HTTP,5,84,train,Medium,1,High,2718
HTTP,5,84,train,Medium,2,Medium,486
HTTP,5,84,train,High,0,Low,2388
HTTP,5,84,train,High,1,High,2842
HTTP,5,84,train,High,2,Medium,723
HTTP,5,84,validation,Low,0,Low,3246
HTTP,5,84,validation,Low,1,High,38
HTTP,5,84,validation,Low,2,Medium,0
HTTP,5,84,validation,Medium,0,Low,934
HTTP,5,84,validation,Medium,1,High,1346
HTTP,5,84,validation,Medium,2,Medium,117
HTTP,5,84,validation,High,0,Low,290
HTTP,5,84,validation,High,1,High,1224
HTTP,5,84,validation,High,2,Medium,404
HTTP,5,123,train,Low,0,Low,7784
HTTP,5,123,train,Low,1,Medium,207
HTTP,5,123,train,Low,2,High,2058
HTTP,5,123,train,Medium,0,Low,3283
HTTP,5,123,train,Medium,1,Medium,709
HTTP,5,123,train,Medium,2,High,3396
HTTP,5,123,train,High,0,Low,1575
HTTP,5,123,train,High,1,Medium,996
HTTP,5,123,train,High,2,High,3382
HTTP,5,123,validation,Low,0,Low,3192
HTTP,5,123,validation,Low,1,Medium,0
HTTP,5,123,validation,Low,2,High,92
HTTP,5,123,validation,Medium,0,Low,572
HTTP,5,123,validation,Medium,1,Medium,195
HTTP,5,123,validation,Medium,2,High,1630
HTTP,5,123,validation,High,0,Low,97
HTTP,5,123,validation,High,1,Medium,541
HTTP,5,123,validation,High,2,High,1280
HTTP,10,0,train,Low,0,High,1970
HTTP,10,0,train,Low,1,Low,7878
HTTP,10,0,train,Low,2,Medium,201
HTTP,10,0,train,Medium,0,High,3333
HTTP,10,0,train,Medium,1,Low,3313
HTTP,10,0,train,Medium,2,Medium,742
HTTP,10,0,train,High,0,High,3285
HTTP,10,0,train,High,1,Low,1616
HTTP,10,0,train,High,2,Medium,1052
HTTP,10,0,validation,Low,0,High,55
HTTP,10,0,validation,Low,1,Low,3229
HTTP,10,0,validation,Low,2,Medium,0
HTTP,10,0,validation,Medium,0,High,1666
HTTP,10,0,validation,Medium,1,Low,531
HTTP,10,0,validation,Medium,2,Medium,200
HTTP,10,0,validation,High,0,High,1324
HTTP,10,0,validation,High,1,Low,56
HTTP,10,0,validation,High,2,Medium,538
HTTP,10,21,train,Low,0,High,2023
HTTP,10,21,train,Low,1,Low,7807
HTTP,10,21,train,Low,2,Medium,219
HTTP,10,21,train,Medium,0,High,3442
HTTP,10,21,train,Medium,1,Low,3186
HTTP,10,21,train,Medium,2,Medium,760
HTTP,10,21,train,High,0,High,3364
HTTP,10,21,train,High,1,Low,1515
HTTP,10,21,train,High,2,Medium,1074
HTTP,10,21,validation,Low,0,High,66
HTTP,10,21,validation,Low,1,Low,3218
HTTP,10,21,validation,Low,2,Medium,0
HTTP,10,21,validation,Medium,0,High,1686
HTTP,10,21,validation,Medium,1,Low,491
HTTP,10,21,validation,Medium,2,Medium,220
HTTP,10,21,validation,High,0,High,1305
HTTP,10,21,validation,High,1,Low,38
HTTP,10,21,validation,High,2,Medium,575
HTTP,10,42,train,Low,0,High,1895
HTTP,10,42,train,Low,1,Low,7982
HTTP,10,42,train,Low,2,Medium,172
HTTP,10,42,train,Medium,0,High,3244
HTTP,10,42,train,Medium,1,Low,3501
HTTP,10,42,train,Medium,2,Medium,643
HTTP,10,42,train,High,0,High,3273
HTTP,10,42,train,High,1,Low,1774
HTTP,10,42,train,High,2,Medium,906
HTTP,10,42,validation,Low,0,High,42
HTTP,10,42,validation,Low,1,Low,3242
HTTP,10,42,validation,Low,2,Medium,0
HTTP,10,42,validation,Medium,0,High,1587
HTTP,10,42,validation,Medium,1,Low,643
HTTP,10,42,validation,Medium,2,Medium,167
HTTP,10,42,validation,High,0,High,1311
HTTP,10,42,validation,High,1,Low,109
HTTP,10,42,validation,High,2,Medium,498
HTTP,10,84,train,Low,0,High,1980
HTTP,10,84,train,Low,1,Low,7884
HTTP,10,84,train,Low,2,Medium,185
HTTP,10,84,train,Medium,0,High,3376
HTTP,10,84,train,Medium,1,Low,3328
HTTP,10,84,train,Medium,2,Medium,684
HTTP,10,84,train,High,0,High,3331
HTTP,10,84,train,High,1,Low,1655
HTTP,10,84,train,High,2,Medium,967
HTTP,10,84,validation,Low,0,High,55
HTTP,10,84,validation,Low,1,Low,3229
HTTP,10,84,validation,Low,2,Medium,0
HTTP,10,84,validation,Medium,0,High,1658
HTTP,10,84,validation,Medium,1,Low,560
HTTP,10,84,validation,Medium,2,Medium,179
HTTP,10,84,validation,High,0,High,1335
HTTP,10,84,validation,High,1,Low,63
HTTP,10,84,validation,High,2,Medium,520
HTTP,10,123,train,Low,0,Low,7873
HTTP,10,123,train,Low,1,High,1981
HTTP,10,123,train,Low,2,Medium,195
HTTP,10,123,train,Medium,0,Low,3300
HTTP,10,123,train,Medium,1,High,3377
HTTP,10,123,train,Medium,2,Medium,711
HTTP,10,123,train,High,0,Low,1616
HTTP,10,123,train,High,1,High,3322
HTTP,10,123,train,High,2,Medium,1015
HTTP,10,123,validation,Low,0,Low,3229
HTTP,10,123,validation,Low,1,High,55
HTTP,10,123,validation,Low,2,Medium,0
HTTP,10,123,validation,Medium,0,Low,538
HTTP,10,123,validation,Medium,1,High,1664
HTTP,10,123,validation,Medium,2,Medium,195
HTTP,10,123,validation,High,0,Low,56
HTTP,10,123,validation,High,1,High,1321
HTTP,10,123,validation,High,2,Medium,541
HTTP,20,0,train,Low,0,High,2063
HTTP,20,0,train,Low,1,Low,7712
HTTP,20,0,train,Low,2,Medium,274
HTTP,20,0,train,Medium,0,High,3548
HTTP,20,0,train,Medium,1,Low,2956
HTTP,20,0,train,Medium,2,Medium,884
HTTP,20,0,train,High,0,High,3442
HTTP,20,0,train,High,1,Low,1301
HTTP,20,0,train,High,2,Medium,1210
HTTP,20,0,validation,Low,0,High,61
HTTP,20,0,validation,Low,1,Low,3223
HTTP,20,0,validation,Low,2,Medium,0
HTTP,20,0,validation,Medium,0,High,1744
HTTP,20,0,validation,Medium,1,Low,385
HTTP,20,0,validation,Medium,2,Medium,268
HTTP,20,0,validation,High,0,High,1267
HTTP,20,0,validation,High,1,Low,5
HTTP,20,0,validation,High,2,Medium,646
HTTP,20,21,train,Low,0,High,1989
HTTP,20,21,train,Low,1,Low,7827
HTTP,20,21,train,Low,2,Medium,233
HTTP,20,21,train,Medium,0,High,3442
HTTP,20,21,train,Medium,1,Low,3141
HTTP,20,21,train,Medium,2,Medium,805
HTTP,20,21,train,High,0,High,3328
HTTP,20,21,train,High,1,Low,1524
HTTP,20,21,train,High,2,Medium,1101
HTTP,20,21,validation,Low,0,High,54
HTTP,20,21,validation,Low,1,Low,3230
HTTP,20,21,validation,Low,2,Medium,0
HTTP,20,21,validation,Medium,0,High,1661
HTTP,20,21,validation,Medium,1,Low,494
HTTP,20,21,validation,Medium,2,Medium,242
HTTP,20,21,validation,High,0,High,1305
HTTP,20,21,validation,High,1,Low,38
HTTP,20,21,validation,High,2,Medium,575
HTTP,20,42,train,Low,0,High,2067
HTTP,20,42,train,Low,1,Low,7725
HTTP,20,42,train,Low,2,Medium,257
HTTP,20,42,train,Medium,0,High,3537
HTTP,20,42,train,Medium,1,Low,2984
HTTP,20,42,train,Medium,2,Medium,867
HTTP,20,42,train,High,0,High,3471
HTTP,20,42,train,High,1,Low,1330
HTTP,20,42,train,High,2,Medium,1152
HTTP,20,42,validation,Low,0,High,61
HTTP,20,42,validation,Low,1,Low,3223
HTTP,20,42,validation,Low,2,Medium,0
HTTP,20,42,validation,Medium,0,High,1740
HTTP,20,42,validation,Medium,1,Low,402
HTTP,20,42,validation,Medium,2,Medium,255
HTTP,20,42,validation,High,0,High,1279
HTTP,20,42,validation,High,1,Low,5
HTTP,20,42,validation,High,2,Medium,634
HTTP,20,84,train,Low,0,Low,7786
HTTP,20,84,train,Low,1,High,2026
HTTP,20,84,train,Low,2,Medium,237
HTTP,20,84,train,Medium,0,Low,3077
HTTP,20,84,train,Medium,1,High,3496
HTTP,20,84,train,Medium,2,Medium,815
HTTP,20,84,train,High,0,Low,1456
HTTP,20,84,train,High,1,High,3392
HTTP,20,84,train,High,2,Medium,1105
HTTP,20,84,validation,Low,0,Low,3225
HTTP,20,84,validation,Low,1,High,59
HTTP,20,84,validation,Low,2,Medium,0
HTTP,20,84,validation,Medium,0,Low,468
HTTP,20,84,validation,Medium,1,High,1686
HTTP,20,84,validation,Medium,2,Medium,243
HTTP,20,84,validation,High,0,Low,18
HTTP,20,84,validation,High,1,High,1314
HTTP,20,84,validation,High,2,Medium,586
HTTP,20,123,train,Low,0,Low,8070
HTTP,20,123,train,Low,1,High,328
HTTP,20,123,train,Low,2,Medium,1651
HTTP,20,123,train,Medium,0,Low,3548
HTTP,20,123,train,Medium,1,High,1109
HTTP,20,123,train,Medium,2,Medium,2731
HTTP,20,123,train,High,0,Low,1859
HTTP,20,123,train,High,1,High,1539
HTTP,20,123,train,High,2,Medium,2555
HTTP,20,123,validation,Low,0,Low,3237
HTTP,20,123,validation,Low,1,High,0
HTTP,20,123,validation,Low,2,Medium,47
HTTP,20,123,validation,Medium,0,Low,638
HTTP,20,123,validation,Medium,1,High,369
HTTP,20,123,validation,Medium,2,Medium,1390
HTTP,20,123,validation,High,0,Low,135
HTTP,20,123,validation,High,1,High,580
HTTP,20,123,validation,High,2,Medium,1203
HTTP,50,0,train,Low,0,Medium,1881
HTTP,50,0,train,Low,1,Low,7757
HTTP,50,0,train,Low,2,High,411
HTTP,50,0,train,Medium,0,Medium,3636
HTTP,50,0,train,Medium,1,Low,2709
HTTP,50,0,train,Medium,2,High,1043
HTTP,50,0,train,High,0,Medium,3360
HTTP,50,0,train,High,1,Low,1064
HTTP,50,0,train,High,2,High,1529
HTTP,50,0,validation,Low,0,Medium,93
HTTP,50,0,validation,Low,1,Low,3191
HTTP,50,0,validation,Low,2,High,0
HTTP,50,0,validation,Medium,0,Medium,1795
HTTP,50,0,validation,Medium,1,Low,239
HTTP,50,0,validation,Medium,2,High,363
HTTP,50,0,validation,High,0,Medium,1168
HTTP,50,0,validation,High,1,Low,2
HTTP,50,0,validation,High,2,High,748
HTTP,50,21,train,Low,0,Medium,1892
HTTP,50,21,train,Low,1,Low,7752
HTTP,50,21,train,Low,2,High,405
HTTP,50,21,train,Medium,0,Medium,3659
HTTP,50,21,train,Medium,1,Low,2711
HTTP,50,21,train,Medium,2,High,1018
HTTP,50,21,train,High,0,Medium,3379
HTTP,50,21,train,High,1,Low,1073
HTTP,50,21,train,High,2,High,1501
HTTP,50,21,validation,Low,0,Medium,93
HTTP,50,21,validation,Low,1,Low,3191
HTTP,50,21,validation,Low,2,High,0
HTTP,50,21,validation,Medium,0,Medium,1793
HTTP,50,21,validation,Medium,1,Low,246
HTTP,50,21,validation,Medium,2,High,358
HTTP,50,21,validation,High,0,Medium,1172
HTTP,50,21,validation,High,1,Low,2
HTTP,50,21,validation,High,2,High,744
HTTP,50,42,train,Low,0,Medium,1896
HTTP,50,42,train,Low,1,Low,7760
HTTP,50,42,train,Low,2,High,393
HTTP,50,42,train,Medium,0,Medium,3694
HTTP,50,42,train,Medium,1,Low,2724
HTTP,50,42,train,Medium,2,High,970
HTTP,50,42,train,High,0,Medium,3405
HTTP,50,42,train,High,1,Low,1083
HTTP,50,42,train,High,2,High,1465
HTTP,50,42,validation,Low,0,Medium,93
HTTP,50,42,validation,Low,1,Low,3191
HTTP,50,42,validation,Low,2,High,0
HTTP,50,42,validation,Medium,0,Medium,1825
HTTP,50,42,validation,Medium,1,Low,249
HTTP,50,42,validation,Medium,2,High,323
HTTP,50,42,validation,High,0,Medium,1178
HTTP,50,42,validation,High,1,Low,2
HTTP,50,42,validation,High,2,High,738
HTTP,50,84,train,Low,0,Medium,1879
HTTP,50,84,train,Low,1,Low,7750
HTTP,50,84,train,Low,2,High,420
HTTP,50,84,train,Medium,0,Medium,3620
HTTP,50,84,train,Medium,1,Low,2701
HTTP,50,84,train,Medium,2,High,1067
HTTP,50,84,train,High,0,Medium,3375
HTTP,50,84,train,High,1,Low,1031
HTTP,50,84,train,High,2,High,1547
HTTP,50,84,validation,Low,0,Medium,93
HTTP,50,84,validation,Low,1,Low,3191
HTTP,50,84,validation,Low,2,High,0
HTTP,50,84,validation,Medium,0,Medium,1765
HTTP,50,84,validation,Medium,1,Low,233
HTTP,50,84,validation,Medium,2,High,399
HTTP,50,84,validation,High,0,Medium,1159
HTTP,50,84,validation,High,1,Low,0
HTTP,50,84,validation,High,2,High,759
HTTP,50,123,train,Low,0,Low,7825
HTTP,50,123,train,Low,1,Medium,1947
HTTP,50,123,train,Low,2,High,277
HTTP,50,123,train,Medium,0,Low,2961
HTTP,50,123,train,Medium,1,Medium,3636
HTTP,50,123,train,Medium,2,High,791
