file,application,level,raw_records,service_records,excluded_nonservice,sha256,timestamp_inversions_in_export,invalid_timing,all_zero_timing,first_timestamp,last_timestamp
HTTP_Low.flow,HTTP,Low,16914,16914,0,3923682cc1e492971f90db5f618c72d99073c3228e70e6418f793fb61dcf2c93,34,0,2,2026-09-12 09:02:29.131202,2026-09-12 13:51:23.944057
HTTP_Medium.flow,HTTP,Medium,12479,12479,0,b736ce2d42ea4d909f5d9af54a5392882c3738ac46192ca88d767d5847c327d8,64,0,7,2026-09-14 19:36:50.720578,2026-09-14 23:47:24.701858
HTTP_High.flow,HTTP,High,10087,10087,0,ac0388a57194989e7b9cb075dfd66795f72586ad9583f5b28a3b5decf54cdbbc,81,0,0,2026-09-15 09:24:47.280673,2026-09-15 13:28:04.998473
SFTP_Low.flow,SFTP,Low,7765,7765,0,fbc38d2f2b67a7fddee6604b8d9dcc255210139ceedfc93af61a6dbb502e8173,0,0,0,2026-09-11 20:43:14.195122,2026-09-12 00:16:20.260269
SFTP_Medium.flow,SFTP,Medium,5898,5898,0,ff193e54a448ad469fee6d02edd66d94bfa1ceb55a6f3e10576d881e27231045,0,0,0,2026-09-16 09:22:57.450049,2026-09-16 12:07:59.816077
SFTP_High.flow,SFTP,High,6248,6248,0,871265bf64a793229c80679e04485ea7362bbc34e4d67f098eb2f817930ff0da,0,0,0,2026-09-16 14:29:50.904834,2026-09-16 16:51:44.362479
SMTP_Low.flow,SMTP,Low,5344,5344,0,f9b692aa38743dcd3b2fe19d090626fd37d187b3b1151a369c5dddb8cac8c6c3,0,0,0,2026-09-11 11:31:18.891896,2026-09-11 15:08:13.115430
SMTP_Medium.flow,SMTP,Medium,2346,2346,0,e93dcf617c19ee6093d74dfc0a7a1c17f8989fbdd9c1ec38cc641662fd774234,0,0,0,2026-09-15 13:38:58.377183,2026-09-15 15:07:47.026791
SMTP_High.flow,SMTP,High,5347,5347,0,4694bc8c80b585111014c73a80ee54f876acd5fe1706e6077047a0f129009e33,0,0,0,2026-09-15 15:15:49.982453,2026-09-15 18:29:56.098814
SSH_Low.flow,SSH,Low,6688,6688,0,6713b253b3657f105bdcb703b8915f98aa740a5c9a8e1bb5a7d021ce08534247,0,0,0,2026-09-11 17:08:45.096520,2026-09-11 20:22:36.053550
SSH_Medium.flow,SSH,Medium,2968,2968,0,1fd818591b38f717d2dd294f4db93c826b9271b5d2cb0911d94474d8f3efa240,0,0,0,2026-09-15 19:13:15.372265,2026-09-15 20:32:27.855360
SSH_High.flow,SSH,High,4783,4783,0,f2e76f48d2df03e159a3603bf1c23cc4238a72facd63cf3f3040f071673a8b07,0,0,0,2026-09-16 12:22:23.639896,2026-09-16 14:25:00.762594
Video_Low.flow,Video,Low,8787,8787,0,460f68d457e349fd95d333fe8afea5ee421967c560d82f4d498664ff1ced5208,97,0,0,2026-09-12 15:01:48.083348,2026-09-12 19:44:55.370234
Video_Medium.flow,Video,Medium,5327,5327,0,a9e80e311acc7c56eed1c6c823bb76a27bc804b6b3d17e7ea64499562b58de7e,31,0,1,2026-09-14 09:24:44.916076,2026-09-14 12:17:03.555097
Video_High.flow,Video,High,5531,5531,0,7ac7de39fee224bdcf4eb99a8a6afbccf94fd4258c85381c006943d78ae7cc2c,25,0,0,2026-09-14 12:30:47.490155,2026-09-14 15:20:24.809966
