application,window,seed,partition,n,silhouette_n,ari,ami,mapped_balanced_accuracy,silhouette,occupied_clusters,recall_low,recall_medium,recall_high
HTTP,1,0,train,23390,1000,0.11727901736516441,0.0834013553819412,0.4607332964878111,0.48264397692609257,3,0.7918200816001593,0.07349756361667568,0.5168822442465983
HTTP,1,0,validation,7599,1000,0.3932424067467028,0.34217642305856294,0.5524059254425328,0.5062149741698103,3,0.9595006090133983,0.05381727158948686,0.6438998957247133
HTTP,1,21,train,23390,1000,0.11478075460668422,0.08090788887063506,0.45878511899456303,0.487199444568067,3,0.8001791223007264,0.07458040064970221,0.5015958340332606
HTTP,1,21,validation,7599,1000,0.3844937143191664,0.3340170337854845,0.5478531677918146,0.5081483248922949,3,0.9671132764920828,0.05965790571547768,0.6167883211678832
HTTP,1,42,train,23390,1000,0.12046780139459773,0.08483989542178486,0.4656001390316395,0.4775341875438469,3,0.7852522639068564,0.08324309691391446,0.5283050562741475
HTTP,1,42,validation,7599,1000,0.40004161231109175,0.344044402857649,0.5552937323990047,0.5012637957641315,3,0.9555420219244823,0.07634543178973717,0.6339937434827946
HTTP,1,84,train,23390,1000,0.1151781067452913,0.08135688467075049,0.459196672926728,0.4876258372316285,3,0.800079609911434,0.07322685435841905,0.5042835545103309
HTTP,1,84,validation,7599,1000,0.38569815505380073,0.3362006704339597,0.5475719212842223,0.5085780353036523,3,0.9674177831912302,0.05381727158948686,0.62148070907195
HTTP,1,123,train,23390,1000,0.11847048002904655,0.08369823381013777,0.4628911187328391,0.4788656861964173,3,0.7899293462036023,0.0827016783974012,0.5160423315975139
HTTP,1,123,validation,7599,1000,0.39411284045928463,0.3386987154775027,0.5551966880153536,0.5027938152452305,3,0.9585870889159561,0.07926574885273258,0.6277372262773723
HTTP,3,0,train,23390,1000,0.1313919413846746,0.09482557460602117,0.4740688081155094,0.40810419164962247,3,0.7807742063886954,0.0902815376285869,0.5511506803292457
HTTP,3,0,validation,7599,1000,0.4534985987673153,0.4004283320958983,0.5667560758114357,0.42976082667067805,3,0.9716808769792935,0.07634543178973717,0.6522419186652764
HTTP,3,21,train,23390,1000,0.12387091487918168,0.08759865157808067,0.4679044460600566,0.42080412503164516,3,0.8050552293760573,0.07539252842447211,0.5232655803796405
HTTP,3,21,validation,7599,1000,0.41597478606578847,0.3704768398315033,0.5604263861500582,0.44265634126473125,3,0.9795980511571255,0.06090947017104714,0.6407716371220021
HTTP,3,42,train,23390,1000,0.12777160954588854,0.09131591734437457,0.4705771443228726,0.4174366404751106,3,0.7913225196536969,0.08202490525175961,0.5383840080631614
HTTP,3,42,validation,7599,1000,0.4346887160980815,0.3850847626529108,0.5641960040417144,0.4357583914621922,3,0.9741169305724726,0.0688360450563204,0.6496350364963503
HTTP,3,84,train,23390,1000,0.12444232872663258,0.0882917002970146,0.46864865130311184,0.4192038970860048,3,0.7990844860185093,0.07620465619924201,0.5306568116915841
HTTP,3,84,validation,7599,1000,0.41993872270836946,0.3731812817833606,0.563047278595571,0.4425976667629169,3,0.9780755176613886,0.06299541093032958,0.6480709071949948
HTTP,3,123,train,23390,1000,0.1318805697389932,0.09538879961064257,0.47458573152931494,0.40858806388215835,3,0.7796795701064783,0.08906334596643205,0.5550142785150345
HTTP,3,123,validation,7599,1000,0.4528604115808445,0.3995545830030074,0.5666684388469261,0.4290673788514336,3,0.9698538367844093,0.07634543178973717,0.6538060479666319
HTTP,5,0,train,23390,1000,0.13993560785550072,0.1033139105292682,0.4791431896285738,0.4125380008363238,3,0.772813215245298,0.10002707092582566,0.5645892827145976
HTTP,5,0,validation,7599,1000,0.4825387810828737,0.4309131879349696,0.57527261593683,0.4208447515824942,3,0.9716808769792935,0.08677513558614935,0.6673618352450469
HTTP,5,21,train,23390,1000,0.13355875741843518,0.09635388520243164,0.4756044348624513,0.42435259473078185,3,0.7953030152253956,0.08405522468868436,0.547455064673274
HTTP,5,21,validation,7599,1000,0.45538944468349585,0.40816013787744043,0.5728301501973094,0.431409516967409,3,0.9802070645554202,0.0688360450563204,0.6694473409801877
HTTP,5,42,train,23390,1000,0.13123264355574685,0.09439798059819941,0.47421016990168674,0.4278025795942848,3,0.8013732709722361,0.07850568489442339,0.5427515538384008
HTTP,5,42,validation,7599,1000,0.44648120011163395,0.40109142276115956,0.5709734501606544,0.4366314497039387,3,0.9817295980511571,0.05965790571547768,0.6715328467153284
HTTP,5,84,train,23390,1000,0.11433881080480593,0.08026247534994348,0.4586692951615481,0.44013241606959946,3,0.8328191859886556,0.06578234975636167,0.4774063497396271
HTTP,5,84,validation,7599,1000,0.38913710930798245,0.3548554544998929,0.5584681713842282,0.4403031570764794,3,0.9884287454323996,0.04881101376720901,0.6381647549530761
HTTP,5,123,train,23390,1000,0.1383480639148732,0.10188919711389312,0.4795625953817637,0.41665557930983876,3,0.7746044382525624,0.09596643205197618,0.5681169158407525
HTTP,5,123,validation,7599,1000,0.47899144232858326,0.42802694797510266,0.5735663028451676,0.42226866483081515,3,0.9719853836784409,0.08135168961201501,0.6673618352450469
HTTP,10,0,train,23390,1000,0.14184254041204844,0.1041446835147012,0.4787381160359261,0.42886583227652936,3,0.7839586028460543,0.10043313481321062,0.5518226104485133
HTTP,10,0,validation,7599,1000,0.5115086005382976,0.46784497854874724,0.5856640534165957,0.43287850832032915,3,0.9832521315468941,0.08343763037129745,0.6903023983315955
HTTP,10,21,train,23390,1000,0.14536915655833105,0.1074814398505434,0.4816186572159526,0.4253733798249732,3,0.7768932232062892,0.10286951813752031,0.5650932303040483
HTTP,10,21,validation,7599,1000,0.519435922427759,0.47592599415264725,0.5840267324514589,0.4315113339557526,3,0.9799025578562729,0.0917813934084272,0.6803962460896767
HTTP,10,42,train,23390,1000,0.1359732963533096,0.09848431339655829,0.47704924598422965,0.4346485539810718,3,0.7943078913324709,0.08703302652950731,0.5498068200907106
HTTP,10,42,validation,7599,1000,0.48242692560243416,0.43937552790179396,0.5801352148960771,0.4385039251337204,3,0.98721071863581,0.06967042136003337,0.6835245046923879
HTTP,10,84,train,23390,1000,0.1396885806451935,0.10236872363782147,0.47889601677522275,0.43061382970105716,3,0.7845556771818092,0.09258256632376827,0.5595498068200907
HTTP,10,84,validation,7599,1000,0.5047276408064623,0.4624115594327752,0.584655449944146,0.435119423145926,3,0.9832521315468941,0.07467667918231122,0.6960375391032325
HTTP,10,123,train,23390,1000,0.14172145100489797,0.10415047503458291,0.4792453820871878,0.4295886792713855,3,0.783461040899592,0.09623714131023281,0.5580379640517387
HTTP,10,123,validation,7599,1000,0.5104603580186265,0.4674032472644104,0.584447363396383,0.4331669547764789,3,0.9832521315468941,0.08135168961201501,0.6887382690302398
HTTP,20,0,train,23390,1000,0.15595424275241937,0.11699152254180854,0.4884296353342343,0.42629245938696464,3,0.7674395462235049,0.11965349214943151,0.5781958676297665
HTTP,20,0,validation,7599,1000,0.5520975723338739,0.5134037937194977,0.5846051525517959,0.4360857179674334,3,0.9814250913520097,0.11180642469753858,0.6605839416058394
