capture,total,reserved_rows,train_raw,train_purged_tuple_rows,train_eligible_rows,train_common_endpoints,validation_raw,validation_purged_tuple_rows,validation_eligible_rows,validation_common_endpoints,train_validation_shared_tuples
HTTP_Low,16914,3383,10148,0,10148,10049,3383,0,3383,3284,1372
HTTP_Medium,12479,2496,7487,0,7487,7388,2496,0,2496,2397,732
HTTP_High,10087,2018,6052,0,6052,5953,2017,0,2017,1918,440
SFTP_Low,7765,1553,4659,0,4659,4560,1553,0,1553,1454,50
SFTP_Medium,5898,1180,3538,0,3538,3439,1180,0,1180,1081,31
SFTP_High,6248,1250,3748,0,3748,3649,1250,0,1250,1151,10
SMTP_Low,5344,1069,3206,0,3206,3107,1069,0,1069,970,161
SMTP_Medium,2346,470,1407,0,1407,1308,469,0,469,370,18
SMTP_High,5347,1070,3208,0,3208,3109,1069,0,1069,970,109
SSH_Low,6688,1338,4012,0,4012,3913,1338,0,1338,1239,43
SSH_Medium,2968,594,1780,0,1780,1681,594,0,594,495,3
SSH_High,4783,957,2869,0,2869,2770,957,0,957,858,5
Video_Low,8787,1758,5272,0,5272,5173,1757,0,1757,1658,106
Video_Medium,5327,1066,3196,0,3196,3097,1065,0,1065,966,31
Video_High,5531,1107,3318,0,3318,3219,1106,0,1106,1007,30
