application,level,partition,window,median_span_seconds,p95_span_seconds
HTTP,Low,train,1,0.0,0.0
HTTP,Low,validation,1,0.0,0.0
HTTP,Medium,train,1,0.0,0.0
HTTP,Medium,validation,1,0.0,0.0
HTTP,High,train,1,0.0,0.0
HTTP,High,validation,1,0.0,0.0
HTTP,Low,train,3,0.084369,21.104332000000007
HTTP,Low,validation,3,0.070045,18.836153149999998
HTTP,Medium,train,3,0.139953,23.7711607
HTTP,Medium,validation,3,0.175845,27.222600799999974
HTTP,High,train,3,0.179683,24.728464799999966
HTTP,High,validation,3,0.225932,32.464063099999954
HTTP,Low,train,5,0.235261,29.228369000000008
HTTP,Low,validation,5,0.171028,24.409008449999998
HTTP,Medium,train,5,0.37708149999999996,34.366407549999984
HTTP,Medium,validation,5,0.436066,39.486646999999955
HTTP,High,train,5,0.441137,36.51514279999996
HTTP,High,validation,5,0.5642185,52.182428349999945
HTTP,Low,train,10,0.904428,49.318136
HTTP,Low,validation,10,0.5901240000000001,33.317035499999996
HTTP,Medium,train,10,1.1956864999999999,45.286629499999954
HTTP,Medium,validation,10,1.32258,47.8929594
HTTP,High,train,10,1.302682,57.480065199999935
HTTP,High,validation,10,1.5943575,69.98311914999998
HTTP,Low,train,20,4.691199,70.90654360000002
HTTP,Low,validation,20,3.011725,57.091784499999996
HTTP,Medium,train,20,5.275416,75.35515369999996
HTTP,Medium,validation,20,5.085472,84.06709639999997
HTTP,High,train,20,4.506462,85.7567104
HTTP,High,validation,20,8.769869499999999,106.67537105
HTTP,Low,train,50,40.596123,145.49503700000002
HTTP,Low,validation,50,28.7839175,97.7183459
HTTP,Medium,train,50,47.645222000000004,150.82167944999995
HTTP,Medium,validation,50,48.950117,162.5385022
HTTP,High,train,50,51.96149,173.65052139999997
HTTP,High,validation,50,73.4454465,200.225101
HTTP,Low,train,100,97.73487,254.0781642
HTTP,Low,validation,100,77.98745349999999,190.331167
HTTP,Medium,train,100,105.3625215,277.5105351
HTTP,Medium,validation,100,125.503332,307.1825958
HTTP,High,train,100,115.480192,285.6570578
HTTP,High,validation,100,166.770125,364.87615485
SFTP,Low,train,1,0.0,0.0
SFTP,Low,validation,1,0.0,0.0
SFTP,Medium,train,1,0.0,0.0
SFTP,Medium,validation,1,0.0,0.0
SFTP,High,train,1,0.0,0.0
SFTP,High,validation,1,0.0,0.0
SFTP,Low,train,3,3.3878719999999998,5.313483000000001
SFTP,Low,validation,3,3.1053300000000004,4.39250445
SFTP,Medium,train,3,3.365679,5.3948728
SFTP,Medium,validation,3,3.260335,4.310348
SFTP,High,train,3,2.311159,3.9150045999999996
SFTP,High,validation,3,2.599002,4.4286465
SFTP,Low,train,5,6.690112,9.340424100000002
SFTP,Low,validation,5,5.9106435,8.37260265
SFTP,Medium,train,5,6.729333,10.643286199999999
SFTP,Medium,validation,5,6.34945,8.205153
SFTP,High,train,5,5.285017,7.1431296
SFTP,High,validation,5,5.507966,8.158521
SFTP,Low,train,10,15.031924499999999,20.435430850000007
SFTP,Low,validation,10,13.815621499999999,17.1905528
SFTP,Medium,train,10,15.047827,22.5921844
