pRetran,SrcRetra,PCRatio,SrcWin,SrcLoss,DstRate,SrcLoad,Load,DstLoad,TcpRtt,Sum,AckDat,dTtl,Min,pLoss,DstLoss,Loss,StdDev,Rate,SrcRate,IdleTime,Dur,SrcPkts,SrcGap,DstBytes,DstGap,sTtl,DstWin,TotPkts,DstPkts,Mean,SrcBytes,TotBytes,dMeanPktSz,DstRetra,SynAck,label
0.0,0.0,-0.0,64128.0,0.0,80.731102,55542.996094,644492.5,588949.5,0.061747,0.123868,0.06007,64.0,0.123868,0.0,0.0,0.0,0.0,153.389084,64.584877,1721542400.0,0.123868,9.0,0.0,10030.0,0.0,62.0,31872.0,20.0,11.0,0.123868,967.0,10997.0,911.818176,0.0,0.001677,HTTP
0.0,0.0,-0.0,61440.0,0.0,48.245472,39561.285156,277765.25,238203.96875,0.061449,0.124364,0.059958,64.0,0.124364,0.0,0.0,0.0,0.0,96.490944,40.204559,1721542400.0,0.124364,6.0,0.0,4320.0,0.0,62.0,31872.0,13.0,7.0,0.124364,738.0,5058.0,617.142883,0.0,0.001491,HTTP
0.0,0.0,-0.0,64128.0,0.0,56.511768,48761.582031,336293.46875,287531.875,0.060953,0.123868,0.059958,64.0,0.123868,0.0,0.0,0.0,0.0,121.096649,56.511768,1721542400.0,0.123868,8.0,0.0,5088.0,0.0,62.0,31872.0,16.0,8.0,0.123868,862.0,5950.0,636.0,0.0,0.000995,HTTP
0.0,0.0,-0.0,64128.0,0.0,45.237461,35517.871094,322711.125,287193.25,0.061449,0.154739,0.060454,64.0,0.154739,0.0,0.0,0.0,0.0,90.474922,38.774967,1721542400.0,0.154739,7.0,0.0,6348.0,0.0,62.0,31872.0,15.0,8.0,0.154739,801.0,7149.0,793.5,0.0,0.000995,HTTP
0.0,0.0,-0.0,60672.0,0.0,51.699955,35517.871094,384699.375,349181.5,0.061449,0.154739,0.060454,64.0,0.154739,0.0,0.0,0.0,0.0,96.937416,38.774967,1721542400.0,0.154739,7.0,0.0,7598.0,0.0,62.0,31872.0,16.0,9.0,0.154739,801.0,8399.0,844.222229,0.0,0.000995,HTTP
0.0,0.0,-0.0,60672.0,0.0,51.699955,39550.46875,348457.71875,308907.25,0.061449,0.154739,0.060454,64.0,0.154739,0.0,0.0,0.0,0.0,103.39991,45.237461,1721542400.0,0.154739,8.0,0.0,6721.0,0.0,62.0,31872.0,17.0,9.0,0.154739,874.0,7595.0,746.777771,0.0,0.000995,HTTP
0.0,0.0,-0.0,62592.0,0.0,35.231941,28655.3125,216652.953125,187997.640625,0.061449,0.1703,0.060454,64.0,0.1703,0.0,0.0,0.0,0.0,70.463882,29.359951,1721542400.0,0.1703,6.0,0.0,4668.0,0.0,62.0,31872.0,13.0,7.0,0.1703,731.0,5399.0,666.857117,0.0,0.000995,HTTP
0.0,0.0,-0.0,60672.0,0.0,57.692585,43846.363281,449598.3125,405751.9375,0.061382,0.138666,0.061382,64.0,0.138666,0.0,0.0,0.0,0.0,115.38517,50.48101,1721542400.0,0.138666,8.0,0.0,7912.0,0.0,62.0,31872.0,17.0,9.0,0.138666,868.0,8780.0,879.111084,0.0,0.0,HTTP
0.0,0.0,-0.0,62592.0,0.0,52.047077,39399.636719,354284.46875,314884.8125,0.075703,0.153707,0.075045,64.0,0.153707,0.0,0.0,0.0,0.0,104.094154,45.541191,1721542400.0,0.153707,8.0,0.0,6806.0,0.0,62.0,31872.0,17.0,9.0,0.153707,865.0,7671.0,756.222229,0.0,0.000658,HTTP
0.0,0.0,-0.0,62592.0,0.0,43.14653,35380.15625,262445.96875,227065.8125,0.062461,0.139061,0.061467,64.0,0.139061,0.0,0.0,0.0,0.0,86.29306,35.955444,1721542400.0,0.139061,6.0,0.0,4604.0,0.0,62.0,31872.0,13.0,7.0,0.139061,737.0,5341.0,657.714294,0.0,0.000994,HTTP
0.0,0.0,-0.0,64128.0,0.0,45.222267,35557.625,292833.5625,257275.9375,0.062461,0.154791,0.060971,64.0,0.154791,0.0,0.0,0.0,0.0,90.444534,38.761944,1721542400.0,0.154791,7.0,0.0,5689.0,0.0,62.0,31872.0,15.0,8.0,0.154791,802.0,6491.0,711.125,0.0,0.00149,HTTP
0.0,0.0,-0.0,61568.0,0.0,45.222267,39227.085938,296089.5625,256862.484375,0.063163,0.154791,0.061673,64.0,0.154791,0.0,0.0,0.0,0.0,96.904861,45.222267,1721542400.0,0.154791,8.0,0.0,5679.0,0.0,62.0,31872.0,16.0,8.0,0.154791,867.0,6546.0,709.875,0.0,0.00149,HTTP
0.0,0.0,-0.0,62592.0,0.0,38.879745,32658.986328,244942.390625,212283.40625,0.061424,0.154322,0.060928,64.0,0.154322,0.0,0.0,0.0,0.0,77.759491,32.399788,1721542400.0,0.154322,6.0,0.0,4777.0,0.0,62.0,31872.0,13.0,7.0,0.154322,755.0,5532.0,682.428589,0.0,0.000496,HTTP
0.0,0.0,-0.0,62592.0,0.0,38.865643,35704.570312,202982.296875,167277.71875,0.076757,0.154378,0.076261,64.0,0.154378,0.0,0.0,0.0,0.0,84.208893,38.865643,1721542400.0,0.154378,7.0,0.0,3766.0,0.0,62.0,31872.0,14.0,7.0,0.154378,803.0,4569.0,538.0,0.0,0.000496,HTTP
0.0,0.0,-0.0,61568.0,0.0,45.116463,39135.308594,288693.8125,249558.5,0.076814,0.155154,0.076178,64.0,0.155154,0.0,0.0,0.0,0.0,96.678139,45.116463,1721542400.0,0.155154,8.0,0.0,5531.0,0.0,62.0,31872.0,16.0,8.0,0.155154,867.0,6398.0,691.375,0.0,0.000636,HTTP
0.0,0.0,-0.0,64128.0,0.0,44.505478,38707.050781,273238.21875,234531.15625,0.077243,0.157284,0.076251,64.0,0.157284,0.0,0.0,0.0,0.0,95.368881,44.505478,1721542400.0,0.157284,8.0,0.0,5269.0,0.0,62.0,31872.0,16.0,8.0,0.157284,869.0,6138.0,658.625,0.0,0.000992,HTTP
0.0,0.0,-0.0,58368.0,0.0,51.543068,31698.988281,350441.34375,318742.34375,0.062894,0.15521,0.062099,64.0,0.15521,0.0,0.0,0.0,0.0,90.200371,32.21442,1721542400.0,0.15521,6.0,0.0,6957.0,0.0,62.0,31872.0,15.0,9.0,0.15521,738.0,7695.0,773.0,0.0,0.000795,HTTP
0.0,0.0,-0.0,62592.0,0.0,39.001305,32189.078125,222359.4375,190170.359375,0.07603,0.153841,0.07603,64.0,0.153841,0.0,0.0,0.0,0.0,78.002609,32.501087,1721542400.0,0.153841,6.0,0.0,4266.0,0.0,62.0,31872.0,13.0,7.0,0.153841,742.0,5008.0,609.428589,0.0,0.0,HTTP
0.0,0.0,-0.0,60672.0,0.0,51.519501,35599.976562,380162.4375,344562.4375,0.076623,0.155281,0.075744,64.0,0.155281,0.0,0.0,0.0,0.0,96.599068,38.639626,1721542400.0,0.155281,7.0,0.0,7523.0,0.0,62.0,31872.0,16.0,9.0,0.155281,806.0,8329.0,835.888916,0.0,0.000879,HTTP
0.0,0.0,-0.0,62592.0,0.0,38.589676,31489.177734,249443.671875,217954.5,0.077779,0.155482,0.076767,64.0,0.155482,0.0,0.0,0.0,0.0,77.179352,32.158066,1721542400.0,0.155482,6.0,0.0,4941.0,0.0,62.0,31872.0,13.0,7.0,0.155482,734.0,5675.0,705.857117,0.0,0.001012,HTTP
0.0,0.0,-0.0,63488.0,0.0,32.319992,31647.736328,138432.984375,106785.257812,0.077115,0.154703,0.075625,64.0,0.154703,0.0,0.0,0.0,0.0,71.103981,32.319992,1721542400.0,0.154703,6.0,0.0,2478.0,0.0,62.0,31872.0,12.0,6.0,0.154703,734.0,3212.0,413.0,0.0,0.00149,HTTP
0.0,0.0,-0.0,64128.0,0.0,45.292492,35716.367188,311767.625,276051.28125,0.07675,0.154551,0.074425,64.0,0.154551,0.0,0.0,0.0,0.0,90.584984,38.822136,1721542400.0,0.154551,7.0,0.0,6094.0,0.0,62.0,31872.0,15.0,8.0,0.154551,804.0,6898.0,761.75,0.0,0.002325,HTTP
0.0,0.0,-0.0,62592.0,0.0,38.647591,31691.025391,214262.25,182571.21875,0.075828,0.155249,0.075254,64.0,0.155249,0.0,0.0,0.0,0.0,77.295181,32.206326,1721542400.0,0.155249,6.0,0.0,4133.0,0.0,62.0,31872.0,13.0,7.0,0.155249,737.0,4870.0,590.428589,0.0,0.000574,HTTP
0.0,0.0,-0.0,64128.0,0.0,45.088856,35246.605469,326494.84375,291248.25,0.076325,0.155249,0.075751,64.0,0.155249,0.0,0.0,0.0,0.0,90.177711,38.647591,1721542400.0,0.155249,7.0,0.0,6459.0,0.0,62.0,31872.0,15.0,8.0,0.155249,797.0,7256.0,807.375,0.0,0.000574,HTTP
0.0,0.0,-0.0,64128.0,0.0,45.386761,35635.089844,273772.9375,238137.84375,0.075869,0.15423,0.07517,64.0,0.15423,0.0,0.0,0.0,0.0,90.773521,38.902939,1721542400.0,0.15423,7.0,0.0,5246.0,0.0,62.0,31872.0,15.0,8.0,0.15423,801.0,6047.0,655.75,0.0,0.000699,HTTP
0.0,0.0,-0.0,64128.0,0.0,25.734726,31808.121094,106799.117188,74990.992188,0.077981,0.155432,0.07677,64.0,0.155432,0.0,0.0,0.0,0.0,64.336815,32.168407,1721542400.0,0.155432,6.0,0.0,1821.0,0.0,62.0,31872.0,11.0,5.0,0.155432,741.0,2562.0,364.200012,0.0,0.001211,HTTP
0.0,0.0,-0.0,62592.0,0.0,38.636395,31681.841797,193233.484375,161551.640625,0.078011,0.155294,0.077004,64.0,0.155294,0.0,0.0,0.0,0.0,77.272789,32.196995,1721542400.0,0.155294,6.0,0.0,3658.0,0.0,62.0,31872.0,13.0,7.0,0.155294,738.0,4396.0,522.571411,0.0,0.001007,HTTP
0.0,0.0,-0.0,62592.0,0.0,38.520554,35233.464844,225987.25,190753.78125,0.076923,0.155761,0.075879,64.0,0.155761,0.0,0.0,0.0,0.0,83.461197,38.520554,1721542400.0,0.155761,7.0,0.0,4333.0,0.0,62.0,31872.0,14.0,7.0,0.155761,800.0,5133.0,619.0,0.0,0.001044,HTTP
0.0,0.0,-0.0,60672.0,0.0,51.804749,35745.277344,339476.53125,303731.25,0.076381,0.154426,0.075524,64.0,0.154426,0.0,0.0,0.0,0.0,97.133904,38.853561,1721542400.0,0.154426,7.0,0.0,6595.0,0.0,62.0,31872.0,16.0,9.0,0.154426,805.0,7400.0,732.777771,0.0,0.000857,HTTP
0.0,0.0,-0.0,64128.0,0.0,25.902374,31549.09375,87705.445312,56156.347656,0.076381,0.154426,0.075024,64.0,0.154426,0.0,0.0,0.0,0.0,64.755936,32.377968,1721542400.0,0.154426,6.0,0.0,1355.0,0.0,62.0,31872.0,11.0,5.0,0.154426,730.0,2085.0,271.0,0.0,0.001357,HTTP
0.0,0.0,-0.0,64128.0,0.0,25.818111,31962.822266,107506.617188,75543.796875,0.07677,0.15493,0.07677,64.0,0.15493,0.0,0.0,0.0,0.0,64.54528,32.27264,1721542400.0,0.15493,6.0,0.0,1828.0,0.0,62.0,31872.0,11.0,5.0,0.15493,742.0,2570.0,365.600006,0.0,0.0,HTTP
0.0,0.0,-0.0,62592.0,0.0,43.443634,39968.140625,257128.375,217160.234375,0.07632,0.13811,0.075327,64.0,0.13811,0.0,0.0,0.0,0.0,94.127869,43.443634,1721542400.0,0.13811,7.0,0.0,4373.0,0.0,62.0,31872.0,14.0,7.0,0.13811,805.0,5178.0,624.714294,0.0,0.000993,HTTP
