pRetran,SrcRetra,PCRatio,SrcWin,SrcLoss,DstRate,SrcLoad,Load,DstLoad,TcpRtt,Sum,AckDat,dTtl,Min,pLoss,DstLoss,Loss,StdDev,Rate,SrcRate,IdleTime,Dur,SrcPkts,SrcGap,DstBytes,DstGap,sTtl,DstWin,TotPkts,DstPkts,Mean,SrcBytes,TotBytes,dMeanPktSz,DstRetra,SynAck,label
0.0,0.0,-0.0,65535.0,0.0,1.478112,4652.25293,9980.213867,5327.961426,0.0,4.73577,0.0,64.0,4.73577,0.0,0.0,0.0,0.0,3.167383,1.478112,1724228864.0,4.73577,8.0,0.0,3604.0,0.0,64.0,65535.0,16.0,8.0,4.73577,3147.0,6751.0,450.5,0.0,0.0,audio
0.0,0.0,-0.0,65535.0,0.0,55.377678,40052.828125,577784.875,537732.0,0.0,2.166938,0.0,64.0,2.166938,0.0,0.0,0.0,0.0,89.527245,33.688087,1724228864.0,2.166938,74.0,0.0,146867.0,0.0,64.0,65535.0,195.0,121.0,2.166938,10997.0,157864.0,1213.776855,0.0,0.0,audio
0.0,0.0,-0.0,65535.0,0.0,1.685047,7041.811523,8656.086914,1614.275024,0.0,4.747642,0.0,64.0,4.747642,0.0,0.0,0.0,0.0,3.370094,1.474416,1724228864.0,4.747642,8.0,0.0,1077.0,0.0,64.0,65535.0,17.0,9.0,4.747642,4776.0,5853.0,119.666664,0.0,0.0,audio
0.0,0.0,-0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1724228864.0,0.0,1.0,0.0,597.0,0.0,64.0,65535.0,2.0,1.0,0.0,54.0,651.0,597.0,0.0,0.0,audio
0.0,0.0,-0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1724228864.0,0.0,1.0,0.0,597.0,0.0,64.0,65535.0,2.0,1.0,0.0,54.0,651.0,597.0,0.0,0.0,audio
0.0,0.0,-0.0,80149.62190489589,0.0,0.0,0.0,0.0,0.0,0.0,0.000213,0.0,63.56719658239373,0.000213,0.0,0.0,0.0,0.0,4694.835449,0.0,1724228864.0,0.000213,1.0,5345.913196398425,60.0,3729.9940911648846,64.0584705554005,63581.709972552606,2.0,1.0,0.000213,42.0,102.0,60.0,0.0,0.0,audio
0.0,0.0,-0.0,65535.0,0.0,6.853305,11594.179688,63640.59375,52046.414062,0.0,4.96111,0.0,64.0,4.96111,0.0,0.0,0.0,0.0,12.497203,5.44233,1724228864.0,4.96111,28.0,0.0,33225.0,0.0,64.0,65535.0,63.0,35.0,4.96111,7456.0,40681.0,949.285706,0.0,0.0,audio
0.0,0.0,-0.0,65535.0,0.0,103.53064,61213.21875,1090804.25,1029591.0,0.0,4.472106,0.0,64.0,4.472106,0.0,0.0,0.0,0.0,164.799316,61.045067,1724228864.0,4.472106,274.0,0.0,576798.0,0.0,64.0,65535.0,738.0,464.0,4.472106,34344.0,611142.0,1243.099121,0.0,0.0,audio
0.0,0.0,-0.0,65535.0,0.0,130.31311,71302.523438,1381691.125,1310388.625,0.0,4.987986,0.0,64.0,4.987986,0.0,0.0,0.0,0.0,201.08316,70.569565,1724228864.0,4.987986,353.0,0.0,818281.0,0.0,64.0,65535.0,1004.0,651.0,4.987986,44583.0,862864.0,1256.960083,0.0,0.0,audio
0.0,0.0,-0.0,65535.0,0.0,191.29924,102041.742188,2028266.625,1926224.875,0.0,4.997406,0.0,64.0,4.997406,0.0,0.0,0.0,0.0,291.151062,99.651703,1724228864.0,4.997406,499.0,0.0,1204524.0,0.0,64.0,65535.0,1456.0,957.0,4.997406,63870.0,1268394.0,1258.645752,0.0,0.0,audio
0.0,0.0,-0.0,65535.0,0.0,141.924042,76199.9375,1513336.375,1437136.5,0.0,4.974492,0.0,64.0,4.974492,0.0,0.0,0.0,0.0,215.700409,73.575348,1724228864.0,4.974492,367.0,0.0,894893.0,0.0,64.0,65535.0,1074.0,707.0,4.974492,47511.0,942404.0,1265.760986,0.0,0.0,audio
0.0,0.0,-0.0,65535.0,0.0,110.010719,59073.871094,1159988.25,1100914.375,0.0,3.181508,0.0,64.0,3.181508,0.0,0.0,0.0,0.0,168.473557,58.148525,1724228864.0,3.181508,186.0,0.0,439071.0,0.0,64.0,65535.0,537.0,351.0,3.181508,23619.0,462690.0,1250.914551,0.0,0.0,audio
0.0,0.0,-0.0,65535.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1724228864.0,0.0,1.0,0.0,597.0,0.0,64.0,65535.0,2.0,1.0,0.0,54.0,651.0,597.0,0.0,0.0,audio
0.0,0.0,-0.0,65535.0,0.0,17.318029,19892.375,168382.796875,148490.421875,0.0,4.965923,0.0,64.0,4.965923,0.0,0.0,0.0,0.0,29.803122,12.283719,1724228864.0,4.965923,62.0,0.0,93245.0,0.0,64.0,65535.0,149.0,87.0,4.965923,12550.0,105795.0,1071.781616,0.0,0.0,audio
0.0,0.0,-0.0,65535.0,0.0,275.419373,148720.859375,2966256.75,2817536.0,0.0,4.999648,0.0,64.0,4.999648,0.0,0.0,0.0,0.0,417.029358,141.409958,1724228864.0,4.999648,708.0,0.0,1762114.0,0.0,64.0,65535.0,2086.0,1378.0,4.999648,93075.0,1855189.0,1278.747437,0.0,0.0,audio
0.0,0.0,-0.0,65535.0,0.0,247.224243,131384.078125,2638826.5,2507442.5,0.0,4.99951,0.0,64.0,4.99951,0.0,0.0,0.0,0.0,376.836945,129.412689,1724228864.0,4.99951,648.0,0.0,1568265.0,0.0,64.0,65535.0,1885.0,1237.0,4.99951,82233.0,1650498.0,1267.797119,0.0,0.0,audio
