TotBytes,SrcBytes,DstBytes,SrcGap,DstGap,sMeanPktSz,dMeanPktSz,SrcWin,DstWin,Dur,IdleTime,Mean,StdDev,Sum,Min,Max,sTtl,dTtl,TcpRtt,SynAck,AckDat,TotPkts,SrcPkts,DstPkts,SrcRetra,DstRetra,Loss,SrcLoss,DstLoss,PCRatio,Load,SrcLoad,DstLoad,pLoss,pRetran,Rate,SrcRate,DstRate,Flgs_ e *      ,Flgs_ e d      ,Flgs_ e g      ,Flgs_ e s      ,Cause_Status,State_A_A,State_A_FA,State_A_FPA,State_A_PA,State_A_SPA,State_FA_A,State_FA_FA,State_FA_FPA,State_FA_PA,State_FPA_FPA,State_FPA_FSPA,State_FPA_PA,State_FRPA_FPA,State_FSPA_FSPA,State_PA_A,State_PA_FPA,State_PA_FSPA,State_PA_PA,State_PA_SPA,State_RA_PA,State_R_PA,State_SA_SPA,State_SPA_FSPA,State_SPA_SPA,State_S_RA,State_S_SA,State__A,State__FA,State__FPA,State__PA,State__SA,TcpOpt_MwsS  T,label
134.0,74.0,60.0,0.0,0.0,74.0,60.0,8222720.0,0.0,0.010647,1721542272.0,0.010647,0.0,0.010647,0.010647,0.010647,62.0,64.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,93.923172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
148.0,74.0,74.0,0.0,0.0,74.0,74.0,8222720.0,4077568.0,0.018243,1721542272.0,0.018243,0.0,0.018243,0.018243,0.018243,62.0,64.0,0.018243,0.018243,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,54.815544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
571.0,216.0,355.0,0.0,0.0,72.0,88.75,64256.0,31872.0,0.265988,1721542272.0,0.265988,0.0,0.265988,0.265988,0.265988,62.0,64.0,0.287893,0.018243,0.26965,7.0,3.0,4.0,0.0,0.0,1.0,0.0,1.0,-0.0,12361.459961,4331.022461,8030.4375,12.5,0.0,22.557409,7.519136,11.278705,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
903.0,415.0,488.0,0.0,0.0,83.0,81.333336,64256.0,31872.0,0.812861,1721542272.0,0.812861,0.0,0.812861,0.812861,0.812861,62.0,64.0,0.287893,0.018243,0.26965,11.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,-0.0,7273.076172,3267.471191,4005.604736,0.0,0.0,12.302226,4.92089,6.151113,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
596.0,530.0,66.0,0.0,0.0,530.0,66.0,64256.0,31872.0,0.046995,1721542272.0,0.046995,0.0,0.046995,0.046995,0.046995,62.0,64.0,0.287893,0.018243,0.26965,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,21.27886,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
353.0,72.0,281.0,0.0,0.0,72.0,70.25,64256.0,31872.0,0.900315,1721542272.0,0.900315,0.0,0.900315,0.900315,0.900315,62.0,64.0,0.287893,0.018243,0.26965,5.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,-0.0,1874.899414,0.0,1874.899414,0.0,0.0,4.44289,0.0,3.332167,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
132.0,66.0,66.0,0.0,0.0,66.0,66.0,64256.0,31872.0,0.005021,1721542272.0,0.005021,0.0,0.005021,0.005021,0.005021,62.0,64.0,0.287893,0.018243,0.26965,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,199.163513,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
132.0,66.0,66.0,0.0,0.0,66.0,66.0,64256.0,31872.0,0.0,1721542272.0,0.0,0.0,0.0,0.0,0.0,62.0,64.0,0.287893,0.018243,0.26965,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
819.0,390.0,429.0,0.0,0.0,78.0,85.800003,64256.0,31872.0,0.796457,1721542272.0,0.796457,0.0,0.796457,0.796457,0.796457,62.0,64.0,0.227827,0.034451,0.193376,10.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,-0.0,6589.182129,3133.87915,3455.302734,0.0,0.0,11.300045,5.022242,5.022242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
451.0,171.0,280.0,0.0,0.0,85.5,93.333336,64256.0,31872.0,0.92024,1721542272.0,0.92024,0.0,0.92024,0.92024,0.92024,62.0,64.0,0.227827,0.034451,0.193376,5.0,2.0,3.0,0.0,0.0,1.0,0.0,1.0,-0.0,2373.293945,747.631042,1625.662842,16.666667,0.0,4.346692,1.086673,2.173346,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
973.0,758.0,215.0,0.0,0.0,189.5,71.666664,64256.0,31872.0,0.557846,1721542272.0,0.557846,0.0,0.557846,0.557846,0.557846,62.0,64.0,0.227827,0.034451,0.193376,7.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,-0.0,10225.043945,8159.958008,2065.085938,0.0,0.0,10.755656,5.377828,3.585219,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
276.0,144.0,132.0,0.0,0.0,72.0,66.0,64256.0,31872.0,0.40975,1721542272.0,0.40975,0.0,0.40975,0.40975,0.40975,62.0,64.0,0.227827,0.034451,0.193376,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,-0.0,2694.325684,1405.735107,1288.590576,0.0,0.0,7.321537,2.440512,2.440512,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
1167.0,561.0,606.0,0.0,0.0,80.14286,86.571426,64256.0,31872.0,0.908971,1721542272.0,0.908971,0.0,0.908971,0.908971,0.908971,62.0,64.0,0.093395,0.001993,0.091402,14.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,-0.0,8809.961914,4233.358398,4576.603516,0.0,0.0,14.301887,6.600871,6.600871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
708.0,560.0,148.0,0.0,0.0,560.0,74.0,64256.0,31872.0,0.623933,1721542272.0,0.623933,0.0,0.623933,0.623933,0.623933,62.0,64.0,0.093395,0.001993,0.091402,3.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,-0.0,948.819824,0.0,948.819824,25.0,0.0,3.205472,0.0,1.602736,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
