TotBytes,SrcBytes,DstBytes,SrcGap,DstGap,sMeanPktSz,dMeanPktSz,SrcWin,DstWin,Dur,IdleTime,Mean,StdDev,Sum,Min,Max,sTtl,dTtl,TcpRtt,SynAck,AckDat,TotPkts,SrcPkts,DstPkts,SrcRetra,DstRetra,Loss,SrcLoss,DstLoss,PCRatio,Load,SrcLoad,DstLoad,pLoss,pRetran,Rate,SrcRate,DstRate,Flgs_ e *      ,Flgs_ e d      ,Flgs_ e g      ,Flgs_ e i      ,Flgs_ e s      ,Cause_Status,Dir_   ?>,State_A_A,State_A_FA,State_A_PA,State_FA_FA,State_FPA_FA,State_FPA_FPA,State_PA_A,State_PA_PA,State_PA_SPA,State_SPA_SPA,State_S_SA,State__A,State__PA,State__SA,TcpOpt_Mws   T,TcpOpt_MwsS  T,label
4292.0,1888.0,2404.0,0.0,0.0,236.0,240.399994,64128.0,31872.0,0.910081,1721542144.0,0.910081,0.0,0.910081,0.910081,0.910081,62.0,64.0,0.170272,0.000982,0.16929,18.0,8.0,10.0,0.0,0.0,0.0,0.0,0.0,-0.0,33544.265625,14521.78418,19022.482422,0.0,0.0,18.679655,7.691623,9.88923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1
554.0,308.0,246.0,0.0,0.0,154.0,82.0,64128.0,31872.0,0.338373,1721542144.0,0.338373,0.0,0.338373,0.338373,0.338373,62.0,64.0,0.170272,0.000982,0.16929,5.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,-0.0,7518.330078,3640.952393,3877.37793,0.0,0.0,11.821274,2.955318,5.910637,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
2218.0,506.0,1712.0,0.0,0.0,101.199997,214.0,64128.0,31872.0,0.95494,1721542144.0,0.95494,0.0,0.95494,0.95494,0.95494,62.0,64.0,0.170272,0.000982,0.16929,13.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,-0.0,15942.362305,3392.883301,12549.479492,0.0,0.0,12.566235,4.188745,7.330303,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
2238.0,716.0,1522.0,0.0,0.0,119.333336,169.111115,64128.0,31872.0,0.893422,1721542144.0,0.893422,0.0,0.893422,0.893422,0.893422,62.0,64.0,0.170272,0.000982,0.16929,15.0,6.0,9.0,0.0,0.0,0.0,0.0,0.0,-0.0,17460.953125,5345.737793,12115.214844,0.0,0.0,15.670086,5.596459,8.954335,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
2596.0,846.0,1750.0,0.0,0.0,120.85714,159.090912,64128.0,31872.0,0.750101,1721542144.0,0.750101,0.0,0.750101,0.750101,0.750101,62.0,64.0,0.170272,0.000982,0.16929,18.0,7.0,11.0,0.0,0.0,0.0,0.0,0.0,-0.0,24711.339844,7742.95752,16968.382812,0.0,0.0,22.663616,7.998923,13.331538,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
21952.0,1162.0,20790.0,0.0,0.0,89.384613,1094.210571,64128.0,31872.0,0.909839,1721542144.0,0.909839,0.0,0.909839,0.909839,0.909839,62.0,64.0,0.170272,0.000982,0.16929,32.0,13.0,19.0,0.0,0.0,0.0,0.0,0.0,-0.0,182616.921875,9434.636719,173182.296875,0.0,0.0,34.071964,13.189147,19.78372,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
23806.0,916.0,22890.0,0.0,0.0,91.599998,1090.0,101760.0,31872.0,0.597595,1721542144.0,0.597595,0.0,0.597595,0.597595,0.597595,62.0,64.0,0.170272,0.000982,0.16929,31.0,10.0,21.0,0.0,0.0,0.0,0.0,0.0,-0.0,302880.71875,11044.269531,291836.46875,0.0,0.0,50.201225,15.060368,33.467484,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
1480.0,570.0,910.0,0.0,0.0,114.0,130.0,104704.0,31872.0,0.186029,1721542144.0,0.186029,0.0,0.186029,0.186029,0.186029,62.0,64.0,0.170272,0.000982,0.16929,12.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,-0.0,53153.003906,19609.845703,33543.15625,0.0,0.0,59.130566,21.502024,32.253036,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
1900.0,586.0,1314.0,0.0,0.0,117.199997,146.0,105344.0,31872.0,0.17121,1721542144.0,0.17121,0.0,0.17121,0.17121,0.17121,62.0,64.0,0.170272,0.000982,0.16929,14.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,-0.0,76490.859375,21914.607422,54576.25,0.0,0.0,75.930145,23.363121,46.726242,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
4284.0,878.0,3406.0,0.0,0.0,125.428574,227.066666,105344.0,31872.0,0.983874,1721542144.0,0.983874,0.0,0.983874,0.983874,0.983874,62.0,64.0,0.170272,0.000982,0.16929,22.0,7.0,15.0,0.0,0.0,0.0,0.0,0.0,-0.0,31971.572266,6122.734863,25848.837891,0.0,0.0,21.344196,6.098342,14.229464,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
426.0,294.0,132.0,0.0,0.0,98.0,66.0,105344.0,31872.0,0.09349,1721542144.0,0.09349,0.0,0.09349,0.09349,0.09349,62.0,64.0,0.170272,0.000982,0.16929,5.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,-0.0,22419.511719,16771.847656,5647.663086,0.0,0.0,42.785324,21.392662,10.696331,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
4102.0,910.0,3192.0,0.0,0.0,130.0,266.0,105344.0,31872.0,0.997249,1721542144.0,0.997249,0.0,0.997249,0.997249,0.997249,62.0,64.0,0.170272,0.000982,0.16929,19.0,7.0,12.0,0.0,0.0,0.0,0.0,0.0,-0.0,29729.787109,6257.213379,23472.572266,0.0,0.0,18.049654,6.016551,11.030344,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
3452.0,1170.0,2282.0,0.0,0.0,130.0,175.538467,105344.0,31872.0,0.99305,1721542144.0,0.99305,0.0,0.99305,0.99305,0.99305,62.0,64.0,0.170272,0.000982,0.16929,22.0,9.0,13.0,0.0,0.0,0.0,0.0,0.0,-0.0,25352.199219,8378.228516,16973.96875,0.0,0.0,21.146973,8.055989,12.083984,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
426.0,294.0,132.0,0.0,0.0,98.0,66.0,105344.0,31872.0,0.092898,1721542144.0,0.092898,0.0,0.092898,0.092898,0.092898,62.0,64.0,0.170272,0.000982,0.16929,5.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,-0.0,22562.380859,16878.728516,5683.65332,0.0,0.0,43.05798,21.52899,10.764495,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
1448.0,634.0,814.0,0.0,0.0,126.800003,116.285713,105344.0,31872.0,0.216963,1721542144.0,0.216963,0.0,0.216963,0.216963,0.216963,62.0,64.0,0.170272,0.000982,0.16929,12.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,-0.0,44468.414062,18731.304688,25737.107422,0.0,0.0,50.69989,18.436323,27.654486,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
1432.0,618.0,814.0,0.0,0.0,123.599998,116.285713,105344.0,31872.0,0.215689,1721542144.0,0.215689,0.0,0.215689,0.215689,0.215689,62.0,64.0,0.170272,0.000982,0.16929,12.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,-0.0,44248.894531,18359.767578,25889.126953,0.0,0.0,50.999355,18.545219,27.817829,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
