StdDev,SynAck,DstBytes,SrcBytes,State_A_A,State_PA_PA,DstGap,DstWin,pLoss,SrcRate,Flgs_ e s      ,Mean,sTtl,SrcWin,SrcRetra,Rate,State_FPA_FPA,State__SA,IdleTime,Flgs_ e *      ,State_A_PA,AckDat,DstLoss,State_FA_FA,DstPkts,Min,State_S_SA,TcpOpt_MwsS  T,Load,SrcLoad,Dur,Flgs_ e d      ,DstRetra,SrcPkts,PCRatio,dMeanPktSz,DstRate,Loss,SrcGap,pRetran,State__PA,TotBytes,TotPkts,Flgs_ e g      ,DstLoad,State_SPA_SPA,State__A,TcpRtt,Cause_Status,SrcLoss,Sum,sMeanPktSz,Max,dTtl,label
0.0,0.0,66.0,146.0,0.0,0.0,0.0,294.0,0.0,0.0,0.0,0.001227,62.0,1907.0,0.0,814.995911,0.0,0.0,1721542272.0,0.0,0.0,0.0,0.0,0.0,1.0,0.001227,0.0,0.0,0.0,0.0,0.001227,0.0,0.0,1.0,-0.0,66.0,0.0,0.0,0.0,0.0,0.0,212.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001227,146.0,0.001227,64.0,1
0.0,0.0,66.0,146.0,0.0,0.0,0.0,294.0,0.0,0.0,0.0,0.001241,62.0,1907.0,0.0,805.801758,0.0,0.0,1721542272.0,0.0,0.0,0.0,0.0,0.0,1.0,0.001241,0.0,0.0,0.0,0.0,0.001241,0.0,0.0,1.0,-0.0,66.0,0.0,0.0,0.0,0.0,0.0,212.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.001241,146.0,0.001241,64.0,1
0.0,0.0,66.0,132.0,0.0,0.0,0.0,294.0,0.0,13.20376,0.0,0.075736,62.0,1907.0,0.0,26.40752,0.0,0.0,1721542272.0,0.0,0.0,0.0,0.0,1.0,1.0,0.075736,0.0,0.0,6971.585449,6971.585449,0.075736,0.0,0.0,2.0,-0.0,66.0,0.0,0.0,0.0,0.0,0.0,198.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.075736,66.0,0.075736,64.0,1
0.0,0.0,2650.0,2196.0,0.0,0.0,0.0,31872.0,0.0,13.899486,0.0,0.647506,62.0,64128.0,0.0,33.976521,0.0,0.0,1721542272.0,0.0,0.0,0.061124,0.0,0.0,13.0,0.647506,0.0,0.0,54658.953125,24426.029297,0.647506,0.0,0.0,10.0,-0.0,203.846161,18.532646,0.0,0.0,0.0,0.0,4846.0,23.0,0.0,30232.923828,1.0,0.0,0.061124,0.0,0.0,0.647506,219.600006,0.647506,64.0,1
0.0,0.0,2486.0,2022.0,0.0,1.0,0.0,31872.0,0.0,17.548784,0.0,0.56984,62.0,64128.0,0.0,36.852448,0.0,0.0,1721542272.0,0.0,0.0,0.061124,0.0,0.0,11.0,0.56984,0.0,0.0,57545.976562,25817.773438,0.56984,0.0,0.0,11.0,-0.0,226.0,17.548784,0.0,0.0,0.0,0.0,4508.0,22.0,0.0,31728.203125,0.0,0.0,0.061124,1.0,0.0,0.56984,183.818176,0.56984,64.0,1
0.0,0.0,666.0,3776.0,0.0,1.0,0.0,31872.0,0.0,23.94849,0.0,0.292294,62.0,64128.0,0.0,41.054554,0.0,0.0,1721542272.0,0.0,0.0,0.061124,0.0,0.0,5.0,0.292294,0.0,0.0,105017.554688,90429.5,0.292294,0.0,0.0,8.0,-0.0,133.199997,13.684852,0.0,0.0,0.0,0.0,4442.0,13.0,0.0,14588.051758,0.0,0.0,0.061124,1.0,0.0,0.292294,472.0,0.292294,64.0,1
0.0,0.0,666.0,4464.0,0.0,1.0,0.0,31872.0,0.0,23.802965,0.0,0.294081,62.0,64128.0,0.0,40.805084,0.0,0.0,1721542272.0,0.0,0.0,0.061124,0.0,0.0,5.0,0.294081,0.0,0.0,120755.84375,106256.4375,0.294081,0.0,0.0,8.0,-0.0,133.199997,13.601695,0.0,0.0,0.0,0.0,5130.0,13.0,0.0,14499.40625,0.0,0.0,0.061124,1.0,0.0,0.294081,558.0,0.294081,64.0,1
0.0,0.0,15384.0,777100.0,0.0,1.0,0.0,507776.0,0.0,548.845093,0.0,0.941978,62.0,64128.0,0.0,756.917908,0.0,0.0,1721542272.0,0.0,0.0,0.061124,0.0,0.0,196.0,0.941978,0.0,0.0,6716981.0,6586990.5,0.941978,0.0,0.0,518.0,-0.0,78.489799,207.011215,0.0,0.0,0.0,0.0,792484.0,714.0,0.0,129990.296875,0.0,0.0,0.061124,1.0,0.0,0.941978,1500.192993,0.941978,64.0,1
0.0,0.0,324.0,322.0,0.0,1.0,0.0,507776.0,16.666667,4.178846,0.0,0.478601,62.0,64128.0,0.0,8.357693,0.0,0.0,1721542272.0,0.0,0.0,0.061124,1.0,0.0,2.0,0.478601,0.0,1.0,6301.700195,3593.807617,0.478601,1.0,0.0,3.0,-0.0,162.0,2.089423,1.0,0.0,0.0,0.0,646.0,5.0,0.0,2707.892334,0.0,0.0,0.061124,1.0,0.0,0.478601,107.333336,0.478601,64.0,1
0.0,0.0,1712.0,37354.0,0.0,1.0,0.0,509312.0,9.615385,41.151718,1.0,0.680409,62.0,64128.0,0.0,67.606392,0.0,0.0,1721542272.0,0.0,0.0,0.061124,0.0,0.0,18.0,0.680409,0.0,1.0,443062.90625,424050.8125,0.680409,0.0,0.0,29.0,-0.0,95.111115,24.984972,5.0,0.0,0.0,0.0,39066.0,47.0,0.0,19012.09375,0.0,0.0,0.061124,1.0,5.0,0.680409,1288.06897,0.680409,64.0,1
