TcpRtt,SynAck,AckDat,100,010,001,110,101,011,111,label
0.000881,0.000881,0.0,0,0,0,0,0,0,0,0
0.171679,0.000881,0.170798,0,0,0,0,0,0,0,0
0.171679,0.000881,0.170798,0,0,0,0,0,0,0,0
0.171679,0.000881,0.170798,0,0,0,0,0,0,0,0
0.171679,0.000881,0.170798,0,0,0,0,0,0,0,0
0.171679,0.000881,0.170798,0,0,0,0,0,0,0,0
0.171679,0.000881,0.170798,0,0,0,0,0,0,0,0
0.0,0.0,0.0,0,0,0,0,0,0,0,0
0.0,0.0,0.0,0,0,0,0,0,0,0,0
0.000989,0.000989,0.0,0,0,0,0,0,0,0,0
0.0,0.0,0.0,0,0,0,0,0,0,0,0
0.0,0.0,0.0,0,0,0,0,0,0,0,0
0.0,0.0,0.0,0,0,0,0,0,0,0,0
0.001495,0.001495,0.0,0,0,0,0,0,0,0,0
0.001495,0.001495,0.0,0,0,0,0,0,0,0,0
0.001479,0.001479,0.0,0,0,0,0,0,0,0,0
0.001058,0.001058,0.0,0,0,0,0,0,0,0,0
0.001564,0.001564,0.0,0,0,0,0,0,0,0,0
0.123902,0.001495,0.122407,0,0,0,0,0,0,0,0
0.123902,0.001495,0.122407,0,0,0,0,0,0,0,0
0.123396,0.000989,0.122407,0,0,0,0,0,0,0,0
0.123891,0.001479,0.122412,0,0,0,0,0,0,0,0
0.12347,0.001058,0.122412,0,0,0,0,0,0,0,0
0.136856,0.001564,0.135292,0,0,0,0,0,0,0,0
0.123902,0.001495,0.122407,0,0,0,0,0,0,0,0
0.123902,0.001495,0.122407,0,0,0,0,0,0,0,0
0.123396,0.000989,0.122407,0,0,0,0,0,0,0,0
0.123891,0.001479,0.122412,0,0,0,0,0,0,0,0
0.12347,0.001058,0.122412,0,0,0,0,0,0,0,0
0.136856,0.001564,0.135292,0,0,0,0,0,0,0,0
0.123902,0.001495,0.122407,0,0,0,0,0,0,0,0
0.123396,0.000989,0.122407,0,0,0,0,0,0,0,0
0.123891,0.001479,0.122412,0,0,0,0,0,0,0,0
0.123902,0.001495,0.122407,0,0,0,0,0,0,0,0
0.12347,0.001058,0.122412,0,0,0,0,0,0,0,0
0.136856,0.001564,0.135292,0,0,0,0,0,0,0,0
0.12347,0.001058,0.122412,0,0,0,0,0,0,0,0
0.123891,0.001479,0.122412,0,0,0,0,0,0,0,0
0.136856,0.001564,0.135292,0,0,0,0,0,0,0,0
0.123396,0.000989,0.122407,0,0,0,0,0,0,0,0
0.123396,0.000989,0.122407,0,0,0,0,0,0,0,0
0.123902,0.001495,0.122407,0,0,0,0,0,0,0,0
0.123891,0.001479,0.122412,0,0,0,0,0,0,0,0
